	Centro	Isole	Nord-est	Nord-ovest	Sud
Centro	0	722899.1845416665	454026.58543756197	517383.5007244466	463645.58567947056
Isole	722899.1845416665	0	785789.9650694443	956897.59140625	729986.2053784723
Nord-est	454026.58543756197	785789.9650694443	0	371960.3715187872	823860.5872373651
Nord-ovest	517383.5007244466	956897.59140625	371960.3715187872	0	913786.897236871
Sud	463645.58567947056	729986.2053784723	823860.5872373651	913786.897236871	0
