	Centro	Isole	Nord-est	Nord-ovest	Sud
Centro	0	715860.5275000001	423529.65325	503432.67699218745	453050.92497395835
Isole	715860.5275000001	0	765210.851	995946.3175	778139.2675000001
Nord-est	423529.65325	765210.851	0	387206.637125	827127.9275624999
Nord-ovest	503432.67699218745	995946.3175	387206.637125	0	911413.4516666667
Sud	453050.92497395835	778139.2675000001	827127.9275624999	911413.4516666667	0
