Year	iso3	Total population 	Population aged 15-24 years 	Population aged 65 years or older 	Population aged 14 years or younger 	Population aged 25-64 years 	Total debt service (% of GNI)	GDP deflator (base year varies by country)	GDP (current US$)	GDP (current LCU)	GDP at market prices (constant 2010 US$)	GDP growth (annual %)	GDP (constant LCU)	GDP, PPP (current international $)	GDP, PPP (constant 2011 international $)	GDP per capita (current US$)	GDP per capita (current LCU)	GDP per capita, PPP (current international $)	GDP per capita, PPP (constant 2011 international $)	GNI (current LCU)	GNI per capita, Atlas method (current US$)	GNI per capita (current LCU)	GNI per capita, PPP (current international $)	DEC alternative conversion factor (LCU per US$)	PPP conversion factor, GDP (LCU per international $)	Mortality rate, infant (per 1,000 live births)	Population growth (annual %)	General government total expenditure (current LCU)
2003	BFA	12651.596000000001	2566.4139999999998	335.473	5906.2919999999995	3843.417	1.15751	107.83905	4098643482.0	2440000000000.0	6058598755.0	7.80244	2270000000000.0	12569434421.0	14971621551.0	323.96256	193204.7941	966.30566	1183.37809	2430000000000.0	280.0	192027.0771	960.0	596.38	194.4677	91.4	2.89174	483810000000.0
2003	BGD	138600.174	29017.228	5663.045	49271.665	54648.236	1.05322	86.36806999999996	60158929188.0	3480000000000.0	76580396942.0	4.73957	4030000000000.0	207000000000.0	247000000000.0	434.04655999999994	25131.29601	1495.52922	1781.34487	3620000000000.0	450.0	26144.41162	1560.0	57.9	16.80428	55.9	1.726	423610000000.0
2003	BGR	7805.041	1078.499	1340.7	1115.724	4270.1179999999995	5.28335	64.94358000000001	21074775206.0	36516263000.0	38058529755.0	5.07752	56227668100.0	65151458359.0	84997148584.0	2693.75876	4667.4758	8386.67506	10931.649379999999	37111965300.0	2350.0	4743.61794	8520.0	1.7327	0.56048	15.5	-0.5724100000000001	13103000000.0
2003	BHR	761.595	135.64700000000002	17.852	212.11599999999999	395.98		64.47314	11074822074.0	4164133100.0	17177401648.0	6.02395	6458709700.0	28234689998.0	33630717111.0	14541.61605	5467.6476299999995	37374.89557	44158.2693	3978733100.0	13240.0	5224.21116	35710.0	0.376	0.14748	9.9	4.87399	1219000000.0
2003	BHS	315.757	55.684	18.53	85.54799999999999	155.995		93.29059000000001	6949317000.0	6949317000.0	7671935735.0	-1.26474	7449108000.0	6727095953.0	8012734016.0	22008.4337	22008.4337	21304.66135	25376.26724	6853117300.0	21640.0	21703.76999	21010.0	1.0	1.03303	12.7	2.10816	1089000000.0
2003	BIH	3817.313	595.195	475.06199999999995	656.818	2090.238	2.44889	75.95904	8370020196.0	14505245000.0	12930756839.0	4.0	19096141700.0	20213831698.0	27248361179.0	2192.64708	3799.8573899999997	5261.8981	7138.0998	15428789100.0	2020.0	4041.79304	5600.0	1.733	0.71759	7.0	0.23515	6962000000.0
2003	BLR	9758.817	1545.433	1411.2679999999998	1620.046	5182.07	2.3948	339.95742	17825436035.0	36600000000000.0	31868043207.0	7.043189999999999	10800000000000.0	72202209560.0	86001018060.0	1819.47903	3732244.565	7369.82847	8778.52623	36600000000000.0	1630.0	3737499.939	7380.0	2051.271	506.42217	8.6	-0.6916899999999999	16284077000000.0
2003	BLZ	269.132	54.519	9.663	107.06700000000001	97.883	17.00385	98.62319000000001	990374038.9	1980748078.0	1145893620.0	9.32654	2008400000.0	1745064267.0	2078569402.0	3679.8821399999997	7359.764270000002	6474.6523700000025	7723.23396	1801792328.0	3450.0	6694.82755	5890.0	2.0	1.13506	19.4	2.60868	624000000.0
2003	BOL	8810.42	1757.4520000000002	461.17400000000004	3290.53	3301.264	5.58853	258.69602000000003	8082364868.0	61904449000.0	14429684305.0	2.7113400000000003	23929416900.0	33066493565.0	39385943001.0	917.3643099999999	7026.27673	3753.05085	4470.382000000001	59593153300.0	920.0	6763.94012	3610.0	7.6592	1.87212	51.2	1.7989400000000002	19803000000.0
2003	BRA	183627.33899999998	35793.622	10158.141	52090.96900000001	85584.60699999999	10.91588	135.21706	558000000000.0	1720000000000.0	1630000000000.0	1.14032	1270000000000.0	1770000000000.0	2110000000000.0	3040.5065	9355.638490000001	9629.94849	11470.36052	1640000000000.0	2920.0	8957.304559999999	9220.0	3.077	0.97151	22.5	1.41595	704277000000.0
