	Values
beta	0.8474379218313707
a_Centro	-0.2015972473201676
a_Isole	-0.6712233262203193
a_Nord Est	-0.1859796809465181
a_ Nord Ovest	-0.15943840076445054
a_Sud	-0.3843594302621666
rho	7.044276805675153
