	Values
beta	0.39915381746315787
a_Centro	-0.647032500507074
a_Isole	-1.8816062299733551
a_Nord Est	-1.1766468523031488
a_ Nord Ovest	-0.5212957095899772
a_Sud	-1.7624313833345013
rho	7.0198736249685085
