Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2005	Centro	87836	84375.22017806837	86545.11976678985	85597.25416668346	84204.32772780748	84616.64316294198	84375.22017801546	83394.9499226898	83769.76711198656
2005	Isole	2579	3608.380524459411	3284.973461193611	3488.558521218065	3582.4690346639936	3609.270809875131	3608.3805244568725	3572.530004653095	3598.648823745424
2005	Nord-est	63962	63739.70906842242	67900.98527391904	63867.930186905716	64675.31128710482	63741.61212537757	63739.70906838165	62613.34307632797	62737.64932530232
2005	Nord-ovest	88494	87043.40952965185	90650.65837656416	86723.44425783932	85903.24957769443	86840.28190834996	87043.40952959449	85640.94993055401	85651.4427996638
2005	Sud	9510	11582.694349133177	10943.317810368428	11887.41819441336	11683.818077776783	11570.800931080412	11582.69434912618	11558.78904074075	11648.244389086089
2006	Centro	104547	104272.04913085369	106953.64066977565	105782.25541928204	104060.8579075053	104570.40295187994	104272.0491307883	103060.61776493114	103523.82196510913
2006	Isole	3309	4128.859271693133	3758.8034412049906	3991.753945444312	4099.210265952188	4129.877973342872	4128.859271690229	4087.8376138901426	4117.723854447101
2006	Nord-est	76648	74102.0873735337	78939.87620991046	74251.15382934043	75189.79358319432	74104.29981684161	74102.08737348644	72792.60428393952	72937.11941676961
2006	Nord-ovest	105835	103413.5038088928	107699.16132605053	103033.36325564343	102058.91606730917	103172.17434865334	103413.50380882465	101747.2862069303	101759.75245067595
2006	Sud	11666	13835.308064537814	13071.584951727693	14199.294901018346	13956.098434744208	13821.101602920131	13835.308064529483	13806.753628409448	13913.606340315027
2007	Centro	120198	119324.9611859856	122393.67239829693	121053.18373701075	119083.2819944964	119666.38593413618	119324.96118591077	117938.64527560379	118468.71851831992
2007	Isole	4218	5073.994889130043	4619.2297181631875	4905.504834400289	5037.558940676015	5075.246781389911	5073.994889126474	5023.582979123077	5060.310467725307
2007	Nord-est	88096	85346.33050213745	90918.20491975918	85518.01628664084	86599.08514035655	85348.87866136571	85346.33050208303	83838.14658299754	84004.59042724317
2007	Nord-ovest	120784	118880.8886039023	123807.54474769977	118443.89106392747	117323.69743949687	118603.46389994309	118880.88860382396	116965.45762213401	116979.78842110565
2007	Sud	14273	16292.64851825307	15393.27770668617	16721.284408714266	16434.892914762517	16275.918794220524	16292.648518243259	16259.022422664435	16384.853641613725
2008	Centro	202773	217389.44333900049	222980.1044679212	220537.96594985336	216949.1456478697	218011.46018446947	217389.44333886416	214863.81549839998	215829.51727628155
2008	Isole	21966	10195.611136856905	9281.812652018625	9857.049684591282	10122.397274809946	10198.12667085837	10195.611136849733	10094.314182025862	10168.113860583655
2008	Nord-est	146485	155441.96990684437	165590.0703635709	155754.6626306111	157723.62217741078	155446.61089009166	155441.96990674498	152695.10219743437	152998.24773252872
2008	Nord-ovest	208610	215068.01041710403	223980.8486983355	214277.43598093285	212250.88808986748	214566.1199970222	215068.01041696192	211602.79464375335	211628.72056387988
2008	Sud	53873	31487.625245610976	29749.47622461343	32316.018877901035	31762.530718810165	31455.292916081547	31487.62524559207	31422.63851891753	31665.823429095624
2009	Centro	262106	257049.15896864148	263659.7593694473	260772.08624920595	256528.53501624236	257784.6542371155	257049.15896847984	254062.76504664338	255204.64583904177
2009	Isole	34265	35152.219639974755	32001.64390552065	33984.93438635739	34899.794383183376	35160.89264667777	35152.219639950024	34802.97007000938	35057.4150929904
2009	Nord-est	179561	181295.76676732607	193131.74423619546	181660.4679297716	183956.91354857598	181301.17965946082	181295.76676721012	178092.0278550854	178445.59389815576
2009	Nord-ovest	253610	260045.66956816145	270822.46986542805	259089.76051316585	256639.39608090097	259438.8176700721	260045.66956798962	255855.76538747226	255887.11325387695
2009	Sud	77073	79976.80240669286	75562.00136274663	82080.87577925879	80675.04689287019	79894.68010277337	79976.80240664471	79811.73976512246	80429.4158000057
