	Values
beta	0.3711203668815387
a_Centro	-0.7903660789897429
a_Isole	-3.437832562298018
a_Nord Est	-1.563531442000523
a_ Nord Ovest	-0.3094459372300353
a_Sud	-2.5858439910506408
rho	126.82245278575185
