	Values
beta	0.2875950294920632
a_Centro	-1.3994146286747462
a_Isole	-4.142502072425637
a_Nord Est	-1.979777929578268
a_ Nord Ovest	-0.1706369202806784
a_Sud	-3.4900355160408774
rho	7.015932055183978
