Metric	MAE	MAE	MAE	MAE	MSE	MSE	MSE	MSE	RMSE	RMSE	RMSE	RMSE
Alpha	0.5	0.65	0.8	0.95	0.5	0.65	0.8	0.95	0.5	0.65	0.8	0.95
China	5543.281338778409	4582.499708153364	3920.3912581324785	3602.3216547016987	46741958.91942	32460303.1889	24902954.34129	20626036.39512	6836.80912	5697.39442	4990.286	4541.58963
Ecuador	1587.0310546875	1421.4098077975877	1296.1294449068225	1219.8557033157003	9031289.64294	6938390.11732	5845589.65635	5223932.73954	3005.21042	2634.08241	2417.76543	2285.59243
Germany	513.0598366477273	464.7170558764866	423.8252689333526	399.94319574706145	513713.25888	461067.36833	430448.48033	414913.06163	716.73793	679.01942	656.08573	644.13746
Morocco	6682.720720880682	5989.026410680586	5545.776665160609	5214.640544509462	82902657.27018	62808609.71637	51698601.40548	45128276.01901	9105.08964	7925.18831	7190.17395	6717.75826
Peru	1991.199112215909	1654.3821135512903	1473.3754580023854	1387.09428852255	11325114.53485	7952380.62174	6213342.46569	5220826.03479	3365.28075	2819.99656	2492.65771	2284.9127
Poland	2601.362588778409	2286.7128638632903	2018.9589343194766	1853.7239561238077	12191705.68347	9887737.59584	8449916.2814	7530280.08047	3491.66231	3144.47732	2906.87397	2744.13558
Romania	32955.40127840909	28003.761216277206	24711.5462862457	22213.510891895243	1826481956.58135	1341412715.93945	1065502978.19237	894643809.3932	42737.3602	36625.30158	32642.04311	29910.59694
