	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
y_prev_1	0.99630871262299	2.1690013205390146	2.3307996494279726	2.3307996494279717	2.3272603472107156	2.325126628575055	2.312078054930046	2.2995251003869925
y_prev_2		-1.2222184252406658	-1.7019275226162338	-1.7019275226162325	-1.7009606301573967	-1.7008389131494872	-1.6991237693642365	-1.6941965292233372
y_prev_3			0.3350878281984562	0.33508782819845656	0.3369782373630566	0.3373349990422949	0.3526928006887208	0.3579969970050489
poblacion_total					-0.00029325685263859036	-0.0003421942477033202	-0.00030595611581496485	0.000302054602806745
ocupados					0.7615309404374349	0.7965947641815289	0.7158640120984324	-0.7721330360612397
tasa_bruta_mortalidad						18.539864507507986	187.3517624976633	154.06250296019704
tasa_bruta_natalidad						3.8455137713079757	756.1327956473843	735.0561907175768
tasa_fecundidad							-180.0990548582138	-169.40656544509216
tasa_actividad							-31.394626629899204	-41.77346197447764
PIB_pc								0.05906563820287057
tasa_paro								-35.91924753406673
R2	-0.18382	-0.00374	0.24384	0.24384	0.25164	0.25884	0.26816	0.30039
R2_adj	-0.20534	-0.04091	0.20104	0.20104	0.17827	0.15296	0.12802	0.12938
MAE	4333.18735	3906.00563	3168.52523	3168.52523	3157.34835	3104.79047	3471.3681	3464.9387
MSE	110974242.83412	94093240.45717	70884287.91382	70884287.91382	70153652.19395	69478152.14189	68605054.44752	65583259.8405
RMSE	10534.4313	9700.16703	8419.28072	8419.28072	8375.77771	8335.35555	8282.81682	8098.3492
