Year	Province	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
2003	Andalucía	93671.20939268135	99739.53929599404	99920.99506060738	99920.99506060753	100012.87148600873	99975.09423598857	100085.61631033804	100379.60660516005
2003	Aragón	61352.299273747194	72626.5054584126	70761.550340492	70761.55034049207	70860.98720900172	70672.6501778657	70712.36782418433	70723.21993634469
2003	Canarias	3664.408339927858	3754.921694928298	3740.488864130756	3740.488864130762	3679.8124069455703	3453.5296678866807	3593.6512294990066	3652.2292395240756
2003	Cantabria	6344.990764415545	7036.007544625435	6979.611802712223	6979.611802712231	6918.828754348431	6796.995610164559	7300.029371986419	7229.4227496973035
2003	Castilla y León	27766.77048786494	29983.043392732958	29971.569594042783	29971.569594042812	29972.85475052154	29812.748009034156	29809.60843929527	30133.12234086924
2003	Castilla-La Mancha	66122.25338656038	74135.58445473446	73762.30774664109	73762.30774664116	73827.04404889129	73876.16939686568	74179.42039685078	74203.23741025393
2003	Cataluña	95002.8063293934	102248.27049949141	101953.10830271976	101953.10830271988	102044.8629054518	102129.86716082228	102184.79374868816	102332.03063576506
2003	Com. Foral de Navarra	7230.891681760741	7747.330220512451	7656.781149438348	7656.781149438357	7142.936682935619	7113.1439817894025	7158.441798388631	7389.532774695079
2003	Com. Valenciana	131120.65726227374	147050.23990592896	145425.65904981692	145425.6590498171	145127.69003755203	145275.698590464	145384.88109290675	145246.3270288031
2003	Com. de Madrid	198316.4248802865	217144.37532906278	216034.5841059227	216034.58410592302	216268.70426402226	216359.7829039158	216101.6496385162	215989.86675052208
2003	Cueta	13.727803471258209	14.904441999141266	14.897296129264758	14.897296129264776	-204.63084031348558	-365.0426856503151	-180.13481845448572	55.54061484693125
2003	Extremadura	10235.450268170121	11047.989887039705	11080.814946063943	11080.814946063956	11096.589251716512	10778.225737845665	10992.424953719885	10979.432837553051
2003	Galicia	5870.0087643100105	6154.4347117979805	6140.10617046249	6140.106170462497	6163.675424524627	6187.968601027299	6394.495140362916	6802.231072076115
2003	Illes Balears	12541.7212513415	13576.487336524953	13426.036490951723	13426.036490951741	13370.44815703765	13359.976130768126	13708.178054859609	13964.133962802207
2003	La Rioja	11784.86168662613	12847.07710296293	12776.703122159503	12776.70312215952	12726.711979176223	12543.01222114892	12891.84762888507	12785.778196907107
2003	Melilla	64.06308286587165	86.36388893151712	79.38500017830742	79.38500017830748	63.18610298030565	-222.75869249787416	-88.20183162247946	-158.21560664056045
2003	País Vasco	15901.372354207426	16674.198607531886	16566.267126881587	16566.26712688161	16592.6116582091	16127.635364326849	16279.26198545721	16337.96470271043
2003	Princ. de Asturias	8860.839547248132	8925.941961653798	9111.538145716993	9111.538145717006	8994.477304733868	8896.937582057368	9137.87628420877	8925.793942995366
2003	Reg. de Murcia	12445.626627042693	13253.849682960403	13157.736406333424	13157.736406333443	13172.87690976705	13177.635528994848	13737.619175479049	13767.673937264075
2004	Andalucía	97844.46164794384	104527.28187818224	104246.40769460521	104246.40769460532	104333.38709099391	104270.1712412029	104349.26880532365	104641.05031077376
2004	Aragón	62110.989212258726	64982.53972160416	67315.68919278719	67315.68919278728	67356.94267010383	67217.58099235164	67186.58081258631	67218.21441761972
2004	Canarias	3429.205307120301	3386.8446132384943	3403.319463769185	3403.31946376919	3329.3699215214197	3069.2882592658098	3123.74154715079	3146.5214540385973
2004	Cantabria	6318.450344371112	6535.3670085578715	6654.502817058226	6654.502817058235	6584.408299288114	6500.916086213515	6986.9003819554155	6890.7572384127725
2004	Castilla y León	29234.730272391484	31391.740022677357	31391.14197883647	31391.141978836506	31381.04704842407	31215.018886903774	31203.290479737225	31483.51979529582
2004	Castilla-La Mancha	72258.58153821279	79408.40517807475	79747.68093815277	79747.68093815284	79821.41772855961	79883.26743758768	80089.86616665825	80069.56129834746
2004	Cataluña	97030.86049554728	102127.92013484007	102559.58292616642	102559.58292616656	102646.19483883207	102731.50880897381	102738.74554994458	102852.06739411605
2004	Com. Foral de Navarra	7130.221122971514	7323.731464342692	7391.6566709460885	7391.6566709460985	6822.446513769394	6804.348398648204	6749.323176982802	6968.314608741673
2004	Com. Valenciana	135750.5877796801	144181.30326986872	146209.4635496893	146209.4635496895	145862.66050334743	146082.78501315726	146111.62739116684	145980.87708394064
2004	Com. de Madrid	200944.8416515834	210361.09422999865	212646.6950029495	212646.6950029498	212905.85776658886	213008.98407409672	212687.97821394296	212533.43137058025
2004	Cueta	12.81261657317433	12.627957369908485	12.944171315856794	12.944171315856813	-261.59932575954053	-407.63837898638656	-307.57012137037975	-58.039648207018445
2004	Extremadura	10402.929470519472	10913.180036185851	10978.250506889484	10978.250506889497	10995.778481733198	10689.830057483598	10841.920387375603	10765.680639392014
2004	Galicia	5713.511804737667	5813.594681684435	5842.077210678176	5842.077210678183	5860.925363526221	5893.4112118252515	6055.048614684722	6398.235256192965
2004	Illes Balears	13021.279185937454	13855.66275176067	13898.10209476456	13898.102094764576	13832.291043123778	13856.573574379803	14136.105095596498	14335.01024658804
2004	La Rioja	11818.723601855234	12285.013450591878	12425.844474811835	12425.844474811853	12365.243126759118	12181.379643910686	12478.714773283791	12330.191838405946
2004	Melilla	39.35303661760687	22.90816662091987	33.013158799524874	33.01315879952497	13.490715315140136	-273.65598697705923	-187.425344801378	-283.67502620225724
2004	País Vasco	16105.459032480132	16855.390159155606	16821.291739289747	16821.291739289773	16847.37612464007	16727.50499346927	16882.592993130685	16935.15651982944
