Year	Province	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
2003	Andalucía	15838.319604567672	18544.10794589567	18363.62703989367	18363.627039893676	18355.8723398095	18476.14144508707	18907.074121480502	18735.650090818803
2003	Aragón	6972.168370935684	8007.915740245037	7934.483834688297	7934.483834688299	7718.424495135048	7630.137008878702	8276.1258649421	8491.599555222458
2003	Canarias	1070.0355573570912	1258.8440777480787	1257.3395160868931	1257.3395160868938	1293.1822844708215	1489.926078199851	1690.0383864977407	1906.7910772908592
2003	Cantabria	1428.7066939013678	1647.35243863987	1636.8964026245524	1636.896402624553	1659.529622452977	1761.1737213288538	2255.9493699542827	2282.231927413569
2003	Castilla y León	5776.5979157880965	7295.886059445531	7360.928806803531	7360.928806803532	7346.944091875542	7492.231903401873	7655.098138126266	7593.313047229245
2003	Castilla-La Mancha	7401.577426076193	8924.422033018742	8920.231327316478	8920.23132731648	8916.179442602857	9101.721251439403	9575.64983804826	9525.99866354554
2003	Cataluña	50812.74065248512	59490.95074729227	58260.101432137744	58260.10143213776	58166.118408507355	58216.78441945796	58361.05957740666	58136.70262026243
2003	Com. Foral de Navarra	5259.513693936764	6586.950857092849	6622.362441969851	6622.362441969852	6977.599503170379	6959.144849386825	7111.682036854205	6879.372290817257
2003	Com. Valenciana	32275.42074542176	36948.34572522607	36669.30774227024	36669.307742270255	36954.94009915024	36889.50531653873	37397.62569814826	37362.73636172562
2003	Com. de Madrid	75020.0534430859	87299.47538397732	85706.08987710615	85706.08987710616	85615.23218264496	85671.33900006648	85606.77928948445	85730.39410941474
2003	Cueta	25.90402652819774	34.39410267968239	35.66258855740883	35.662588557408846	149.42202503672866	207.48425731934458	553.6026290145387	457.81896313100924
2003	Extremadura	747.2315344672426	945.9753275452102	946.5594878964625	946.5594878964628	942.2006555093195	1121.8485678798038	1852.9300699005305	2026.220498837415
2003	Galicia	754.2056954556034	881.71413914834	884.0831401512567	884.083140151257	843.6793334260719	1034.4451296421612	1387.2663900120606	945.8178791212418
2003	Illes Balears	9142.128747028557	10233.786155187092	10150.127570112792	10150.127570112798	10146.950793392609	10266.758498995876	10668.648111968667	10410.20922312405
