Year	Province	Previous time	Previous two times	Previous three times	MI 3 selection	MI 5 selection	MI 7 selection	MI 9 selection	MI 11 selection
2003	Andalucía	118546.47489430018	121415.548287539	121409.9472731339	121409.94727313388	121427.94457323072	121672.71940480504	121668.66427010726	121612.9023561012
2003	Aragón	18630.390140784235	19289.26512208034	19435.357311910524	19435.35731191052	19199.781911305385	19526.881279676036	19735.449086411736	19808.727739521844
2003	Canarias	3952.5873307803636	4119.749195876756	4113.688584934727	4113.688584934727	4059.4685279066352	3920.095804246747	4178.229579556886	4232.010711608858
2003	Cantabria	1880.0272117751872	1981.0427380454003	1974.1343992102868	1974.1343992102863	1895.0020420536894	2208.05289275261	2242.4487863453005	2254.6782356998347
2003	Castilla y León	20896.42695578033	21888.012200977228	21891.410187510897	21891.4101875109	21826.60243664451	21755.844033848593	21932.887811425993	21920.121496059113
2003	Castilla-La Mancha	29026.223342442714	30911.241867734298	30933.024577311942	30933.024577311946	30907.19279271403	30967.15083495772	31172.260218838263	31146.858585431124
2003	Cataluña	222803.98794810017	234280.69893341683	235553.47131291032	235553.4713129103	235561.5838297645	235460.75500975995	235374.06876453033	235265.9412878312
2003	Com. Foral de Navarra	10387.339102810096	11016.494602834784	10978.098065777842	10978.098065777842	10764.123673200675	10651.85073445337	10793.643784334326	10721.412884842062
2003	Com. Valenciana	73850.52675411478	76842.97560272078	76934.26405730782	76934.26405730781	76783.84837519623	76953.74688014388	76996.38459832648	76985.37657321403
2003	Com. de Madrid	78562.86403744484	81875.65917366934	82469.32929840947	82469.32929840946	82465.6630173428	82435.44040777258	82408.56872811442	82505.75168823518
2003	Cueta	4385.786372047839	4479.6370833396395	4528.720762102005	4528.720762102004	4377.353052625451	4423.569242478139	4601.615270900808	4575.44380064301
2003	Extremadura	8160.941415773114	8552.243607623222	8617.90162302404	8617.90162302404	8585.560611488605	8839.12744057779	9072.248768283704	9116.209018373862
2003	Galicia	4550.005616449888	4696.6052600939265	4726.0089025835705	4726.00890258357	4675.561591484801	4628.818264343299	4917.819458573942	4788.613488933135
2003	Illes Balears	23307.807239959853	24237.083544696834	24358.48973208051	24358.489732080503	24273.942999479837	24251.110149729295	24514.385395575944	24440.23745773814
2003	La Rioja	7910.837394126315	8562.454832935136	8562.611207158	8562.611207158	8509.349616470674	8691.280718126196	8720.29954561651	8768.624364888588
2003	Melilla	9856.929819166695	9839.627022431061	9817.701813830803	9817.701813830803	9794.886496231951	9761.708823117444	9911.818979869697	10004.476649899396
2003	País Vasco	17190.168491603043	17518.13449785464	17419.896242129158	17419.896242129158	17391.263048043955	17712.530341413007	18051.15960419584	18118.924304218715
2003	Princ. de Asturias	2791.7271548348413	2945.2274711958607	2912.822215365738	2912.8222153657375	2831.986932591429	2830.1345074071737	2950.0887590667776	3005.6350929767877
2003	Reg. de Murcia	70037.62015995225	71529.6206527153	71289.3756744278	71289.37567442778	71295.67464607983	71333.60738926659	71749.23253348844	71685.61845932665
2004	Andalucía	115500.8685627748	116593.15854267497	117048.20737507867	117048.20737507864	117070.34335224364	117318.07235119249	117311.02477186214	117272.16020620031
2004	Aragón	17726.240507812032	17613.807739297765	17869.245426040707	17869.245426040703	17634.814897277727	17924.76110469123	18107.716430794	18174.283875510067
2004	Canarias	3993.1702475004104	4124.482673504799	4140.171540011627	4140.171540011627	4084.8370848370823	3927.5117948219868	4106.559567685692	4187.043817093731
2004	Cantabria	1798.8613783350938	1794.2412230558336	1833.0007942025868	1833.0007942025861	1754.2978734323412	2045.128581249206	2050.046838280809	2056.7147296831126
2004	Castilla y León	20408.48816637884	20633.687445820455	20916.773666211102	20916.773666211095	20853.516659688186	20796.508287683686	20935.774521820356	20937.379889910135
2004	Castilla-La Mancha	29122.489796057707	29952.091577651452	30400.097240667685	30400.097240667674	30377.464246055268	30425.26949339811	30570.872911369435	30561.625070701477
2004	Cataluña	225759.93434733708	233608.11038180618	235249.77888268465	235249.77888268462	235284.08335825376	235208.01630975504	235111.51024933707	235028.58502645427
2004	Com. Foral de Navarra	10190.08725177545	10332.2728723714	10523.018973992492	10523.018973992494	10306.42000399662	10154.070949312712	10229.434522097497	10158.042628312467
2004	Com. Valenciana	73272.92803242481	74834.49714628496	75360.61203197627	75360.61203197627	75213.48814826719	75339.02169954858	75337.57694486904	75316.85019340311
2004	Com. de Madrid	80032.34313821491	83084.89649324545	83248.31114285055	83248.31114285054	83251.84251908133	83215.1733907808	83120.23276866025	83247.32070334422
2004	Cueta	4480.165248140971	4658.816717770729	4625.226150962047	4625.226150962046	4471.822291501328	4476.279610068776	4577.28187385619	4548.709925634253
2004	Extremadura	8166.6041483387025	8385.562987970772	8455.230756190955	8455.230756190955	8422.848372820641	8663.492234045301	8913.36758482961	8960.465826868938
2004	Galicia	4478.277670619108	4550.357587503209	4574.033218118446	4574.033218118444	4524.326060826396	4483.660955334476	4684.172345729221	4570.972988647759
2004	Illes Balears	22905.75322780311	23251.874059765505	23459.041251547704	23459.041251547696	23377.605945526684	23341.139285257104	23535.094047507067	23466.12480647943
2004	La Rioja	8017.485524111554	8297.272981566279	8462.477318307781	8462.47731830778	8410.708382956107	8579.915016615676	8537.258769148242	8601.490323593713
2004	Melilla	8700.788587025829	8188.78492795533	8310.511403935925	8310.511403935925	8288.824605695854	8250.532328007854	8327.110483099912	8433.224554452745
2004	País Vasco	16829.641184927277	17042.184685178996	17051.829492804747	17051.829492804743	17026.610362249703	17272.535743895125	17398.450535335367	17354.42812701458
