	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99737	0.91486	0.9521	0.95434	0.97548	0.97888	0.98764	0.99033
R2_adj	0.99737	0.9134	0.95042	0.95189	0.97369	0.97692	0.98624	0.98903
MAE	188.1916	1105.56695	733.65894	711.76033	462.35191	424.64676	313.44021	288.61772
MPE	-9.47447	-14.6867	-13.21019	-13.58475	-8.59509	-8.59545	-8.72843	-8.72303
MAPE	16.57771	32.37141	25.00448	25.93552	17.93068	17.76395	17.39938	17.40609
a Andalucía	-0.21416303886772842							
a Aragón	-0.6042971033763955							
a Canarias	-0.20299304647033914							
a Cantabria	-0.6686757038629453							
a Castilla y León	-0.5775166427039973							
a Castilla-La Mancha	-0.6487923229565384							
a Cataluña	-0.24243488239740452							
a Com. Foral de Navarra	-0.6495012520723946							
a Com. Valenciana	-0.12356405473765439							
a Com. de Madrid	-0.33363961305744844							
a Cueta	-0.9549308951627291							
a Extremadura	-0.7197013092007047							
a Galicia	-0.5811334765030468							
a Illes Balears	-0.17351114452764413							
a La Rioja	-0.810883850672843							
a Melilla	-0.8742229291707005							
a País Vasco	-0.5903916561152958							
a Princ. de Asturias	-0.6499849212039156							
a Reg. de Murcia	-0.458609289799972							
poblacion_total		1.2055511990762047e-08	6.82480127388098e-08	6.620171148876878e-08	4.999033133732422e-08	5.08546587217164e-08	6.08057135763248e-08	6.583414969254638e-08
tasa_bruta_mortalidad			-0.016431210717442024	-0.023211141918263678	-0.06037784832577131	-0.05952791959771275	-0.05117200924059695	-0.08144021055496786
tasa_actividad				0.0010605738181097557	0.017235975689866123	0.020527470065356823	0.036866858657493395	0.027464467912093227
tasa_bruta_natalidad					-0.06358275679581027	-0.06691231631439365	-0.056844987038914496	-0.06830505576458812
PIB_pc						-8.134195296972957e-06	-3.7081131145574875e-05	-3.9512472635679086e-05
tasa_paro							-0.021178388323072284	-0.023895105111868986
Unnamed: 0								0.004730810965368093
