	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99037	0.9896	0.99123	0.99128	0.99127	0.99123	0.99126	0.99128
R2_adj	0.99037	0.98942	0.99092	0.99081	0.99063	0.99042	0.99027	0.9901
MAE	868.26137	825.64182	813.612	815.92558	814.34282	851.85884	843.49229	845.05501
MPE	-4.60351	-4.62602	-4.64713	-4.67873	-4.65736	-4.66112	-4.68632	-4.69169
MAPE	15.4763	15.77658	15.54684	15.52289	15.40521	15.56398	15.66206	15.68103
a Andalucía	-0.061119871865553864							
a Aragón	-0.11909884571943616							
a Canarias	-0.11373602880511109							
a Cantabria	-0.15830154816602843							
a Castilla y León	-0.16591640174108413							
a Castilla-La Mancha	-0.10391635631111378							
a Cataluña	-0.013268728010455502							
a Com. Foral de Navarra	-0.11613117074404249							
a Com. Valenciana	-0.07450420599101999							
a Com. de Madrid	-0.016917700928915626							
a Cueta	-0.08769449698161551							
a Extremadura	-0.024924734350674972							
a Galicia	-0.15186568407116113							
a Illes Balears	-0.07291550870557102							
a La Rioja	-0.10295249216636526							
a Melilla	-0.07847952180596666							
a País Vasco	-0.1647770283497583							
a Princ. de Asturias	-0.21156336500400205							
a Reg. de Murcia	-0.0727534338136394							
ocupados		6.262830370385017e-06	2.733523467666121e-05	3.266644820758757e-05	3.274677580714872e-05	2.4419350281582302e-05	2.0521321302571695e-05	1.9972361280688137e-05
tasa_actividad			-0.00032208740535371455	-0.0018299639122319328	-0.002159712312926984	-0.000718759364720184	0.003987985998115617	0.004181722116348208
tasa_bruta_natalidad				0.008934007257357851	0.00801745171121987	0.06273629206115827	0.02513370873655496	0.03623989545201489
tasa_paro					0.0010955384011415567	-8.18926039149806e-05	0.0011744643533070157	0.0009908372044660115
tasa_fecundidad						-0.01409829221330966	-0.004768461192316456	-0.0071615025198470406
Unnamed: 0							-0.0014938612150880576	-0.0017117752218608617
tasa_bruta_mortalidad								0.0037761681865885466
