	Values
beta	0.9393119563765341
a_Centro	-0.21035130255127216
a_Isole	-0.13514091758494248
a_Nord Est	-0.38874535731863674
a_ Nord Ovest	-0.4024561796661978
a_Sud	-0.2855306675363235
rho	-0.16260697897613965
