	Values
beta	0.916297321706175
a_Centro	-0.2854726613601832
a_Isole	-0.3057977117150763
a_Nord Est	-0.4859656436731534
a_ Nord Ovest	-0.4801521099956553
a_Sud	-0.3451630514712562
rho	-0.31055906550813983
