	Values
beta	0.8765774112341912
a_Centro	-0.4447565517601855
a_Isole	-0.5589214845646503
a_Nord Est	-0.6196697576380384
a_ Nord Ovest	-0.6052798667560545
a_Sud	-0.5363908586658989
rho	-0.5287057407270453
