	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.97949	0.88292	0.97585	0.97789	0.97818	0.97683	0.97366	0.97229
R2_adj	0.97949	0.88091	0.975	0.9767	0.9766	0.97469	0.97068	0.96856
MAE	59.15443	120.10422	68.51939	68.3903	70.24512	67.55062	68.16042	68.7763
MPE	-0.99526	-0.03266	-0.61912	-0.71049	-0.79629	-0.93496	-1.40176	-1.41552
MAPE	19.80073	19.70187	18.67509	19.0531	19.686	20.07235	21.74965	21.81362
a Andalucía	-0.3472099938958971							
a Aragón	-0.3548949074607013							
a Canarias	-0.4683997521784081							
a Cantabria	-0.6329797700779792							
a Castilla y León	-0.3125751088977247							
a Castilla-La Mancha	-0.3417206838648566							
a Cataluña	-0.24348390279451268							
a Com. Foral de Navarra	-0.4397489345254711							
a Com. Valenciana	-0.21666507345752894							
a Com. de Madrid	-0.03566711212492403							
a Cueta	-1.0035249211705675							
a Extremadura	-0.5919424785401176							
a Galicia	-0.6168442611540429							
a Illes Balears	-0.3722467690515267							
a La Rioja	-0.6138719438598803							
a Melilla	-1.0132319496261817							
a País Vasco	-0.5116634563443955							
a Princ. de Asturias	-0.4292985036380396							
a Reg. de Murcia	-0.44570919827764904							
ocupados		2.9603735565215177e-05	0.00019020461427316643	0.00017336614233384555	0.00016405759730714342	0.00018199523521219597	0.0001434272863004571	8.450820531924474e-05
tasa_paro			-0.005663342314138176	-0.013058945528307483	-0.012717180818245293	-0.02395229070917937	-0.01469701602341833	-0.015356832852700286
tasa_actividad				0.0034629654518397723	0.009363748143716544	0.01816427390583242	0.02057181804769183	0.02097418093238268
Unnamed: 0					-0.0016039564667749695	-0.0008304735825199194	-0.001189944840037982	-0.0013003258531982809
PIB_pc						-1.9657734927760757e-05	-1.0659260750219262e-05	-1.0083596542713805e-05
tasa_fecundidad							-0.011430712501749762	-0.011293647301866772
poblacion_total								2.12087165368162e-08
