	Values
beta	0.8463111097266245
a_Centro	-0.4092491542805686
a_Isole	-0.6141034609340841
a_Nord Est	-0.5911947089255009
a_ Nord Ovest	-0.8351495498052588
a_Sud	-0.6407119377084967
rho	-0.7158397959902892
