	Values
beta	0.9028889377683849
a_Centro	-0.3472099938958971
a_Isole	-0.3548949074607013
a_Nord Est	-0.4683997521784081
a_ Nord Ovest	-0.6329797700779792
a_Sud	-0.3125751088977247
rho	-0.3417206838648566
