	Province	Country	Year	Value
221	País Vasco	BEL	1999	81.0
222	País Vasco	BEL	2000	80.0
223	País Vasco	BEL	2001	81.0
224	País Vasco	BEL	2002	87.0
225	País Vasco	BEL	2003	90.0
226	País Vasco	BEL	2004	80.0
227	País Vasco	BEL	2005	82.0
228	País Vasco	BEL	2006	94.0
229	País Vasco	BEL	2007	86.0
230	País Vasco	BEL	2008	75.0
231	País Vasco	BEL	2009	71.0
232	País Vasco	BEL	2010	65.0
233	País Vasco	BEL	2011	75.0
234	País Vasco	BEL	2012	70.0
235	País Vasco	BEL	2013	72.0
236	País Vasco	BEL	2014	67.0
237	País Vasco	BEL	2015	69.0
238	País Vasco	BEL	2016	45.0
239	País Vasco	BEL	2017	32.0
240	País Vasco	BEN	1998	5.0
241	País Vasco	BEN	1999	7.0
242	País Vasco	BEN	2000	8.0
243	País Vasco	BEN	2001	4.0
244	País Vasco	BEN	2002	4.0
245	País Vasco	BEN	2003	4.0
246	País Vasco	BEN	2004	4.0
247	País Vasco	BEN	2005	4.0
248	País Vasco	BEN	2006	7.0
249	País Vasco	BEN	2007	6.0
250	País Vasco	BEN	2008	4.0
251	País Vasco	BEN	2009	3.0
252	País Vasco	BEN	2010	3.0
253	País Vasco	BEN	2011	2.0
254	País Vasco	BEN	2012	2.0
255	País Vasco	BEN	2013	0.0
256	País Vasco	BEN	2014	0.0
257	País Vasco	BEN	2015	0.0
258	País Vasco	BEN	2016	0.0
259	País Vasco	BEN	2017	0.0
260	País Vasco	BOL	1998	795.0
261	País Vasco	BOL	1999	930.0
262	País Vasco	BOL	2000	1064.0
263	País Vasco	BOL	2001	1254.0
264	País Vasco	BOL	2002	1356.0
265	País Vasco	BOL	2003	1436.0
266	País Vasco	BOL	2004	1400.0
267	País Vasco	BOL	2005	1443.0
268	País Vasco	BOL	2006	1488.0
269	País Vasco	BOL	2007	1371.0
270	País Vasco	BOL	2008	1079.0
271	País Vasco	BOL	2009	599.0
272	País Vasco	BOL	2010	325.0
273	País Vasco	BOL	2011	111.0
274	País Vasco	BOL	2012	34.0
275	País Vasco	BOL	2013	17.0
276	País Vasco	BOL	2014	13.0
277	País Vasco	BOL	2015	7.0
278	País Vasco	BOL	2016	4.0
279	País Vasco	BOL	2017	8.0
280	País Vasco	BIH	1998	39.0
281	País Vasco	BIH	1999	43.0
282	País Vasco	BIH	2000	46.0
283	País Vasco	BIH	2001	48.0
284	País Vasco	BIH	2002	52.0
285	País Vasco	BIH	2003	47.0
286	País Vasco	BIH	2004	51.0
287	País Vasco	BIH	2005	63.0
288	País Vasco	BIH	2006	69.0
289	País Vasco	BIH	2007	65.0
290	País Vasco	BIH	2008	43.0
291	País Vasco	BIH	2009	44.0
292	País Vasco	BIH	2010	46.0
293	País Vasco	BIH	2011	39.0
294	País Vasco	BIH	2012	38.0
295	País Vasco	BIH	2013	31.0
296	País Vasco	BIH	2014	34.0
297	País Vasco	BIH	2015	40.0
298	País Vasco	BIH	2016	32.0
299	País Vasco	BIH	2017	28.0
300	País Vasco	BRA	1998	1230.0
301	País Vasco	BRA	1999	1214.0
302	País Vasco	BRA	2000	1129.0
303	País Vasco	BRA	2001	1231.0
304	País Vasco	BRA	2002	1351.0
305	País Vasco	BRA	2003	1451.0
306	País Vasco	BRA	2004	1514.0
307	País Vasco	BRA	2005	1539.0
308	País Vasco	BRA	2006	1587.0
309	País Vasco	BRA	2007	1362.0
310	País Vasco	BRA	2008	1122.0
311	País Vasco	BRA	2009	912.0
312	País Vasco	BRA	2010	683.0
313	País Vasco	BRA	2011	509.0
314	País Vasco	BRA	2012	383.0
315	País Vasco	BRA	2013	311.0
316	País Vasco	BRA	2014	255.0
317	País Vasco	BRA	2015	177.0
318	País Vasco	BRA	2016	96.0
319	País Vasco	BRA	2017	77.0
320	País Vasco	BGR	1998	511.0
321	País Vasco	BGR	1999	516.0
322	País Vasco	BGR	2000	599.0
323	País Vasco	BGR	2001	615.0
324	País Vasco	BGR	2002	615.0
325	País Vasco	BGR	2003	635.0
326	País Vasco	BGR	2004	580.0
327	País Vasco	BGR	2005	578.0
328	País Vasco	BGR	2006	570.0
329	País Vasco	BGR	2007	506.0
330	País Vasco	BGR	2008	437.0
331	País Vasco	BGR	2009	365.0
332	País Vasco	BGR	2010	277.0
333	País Vasco	BGR	2011	198.0
334	País Vasco	BGR	2012	115.0
335	País Vasco	BGR	2013	51.0
336	País Vasco	BGR	2014	10.0
337	País Vasco	BGR	2015	10.0
338	País Vasco	BGR	2016	6.0
339	País Vasco	BGR	2017	6.0
340	País Vasco	BFA	1998	17.0
341	País Vasco	BFA	1999	18.0
342	País Vasco	BFA	2000	18.0
343	País Vasco	BFA	2001	19.0
344	País Vasco	BFA	2002	18.0
345	País Vasco	BFA	2003	18.0
346	País Vasco	BFA	2004	21.0
347	País Vasco	BFA	2005	13.0
348	País Vasco	BFA	2006	11.0
349	País Vasco	BFA	2007	12.0
350	País Vasco	BFA	2008	13.0
351	País Vasco	BFA	2009	11.0
352	País Vasco	BFA	2010	7.0
353	País Vasco	BFA	2011	8.0
354	País Vasco	BFA	2012	1.0
355	País Vasco	BFA	2013	2.0
356	País Vasco	BFA	2014	1.0
357	País Vasco	BFA	2015	0.0
358	País Vasco	BFA	2016	0.0
359	País Vasco	BFA	2017	0.0
360	País Vasco	CMR	1998	153.0
361	País Vasco	CMR	1999	139.0
362	País Vasco	CMR	2000	128.0
363	País Vasco	CMR	2001	131.0
364	País Vasco	CMR	2002	121.0
365	País Vasco	CMR	2003	114.0
366	País Vasco	CMR	2004	97.0
367	País Vasco	CMR	2005	88.0
368	País Vasco	CMR	2006	66.0
369	País Vasco	CMR	2007	59.0
370	País Vasco	CMR	2008	61.0
371	País Vasco	CMR	2009	51.0
372	País Vasco	CMR	2010	49.0
373	País Vasco	CMR	2011	37.0
374	País Vasco	CMR	2012	30.0
375	País Vasco	CMR	2013	22.0
376	País Vasco	CMR	2014	12.0
377	País Vasco	CMR	2015	13.0
378	País Vasco	CMR	2016	5.0
379	País Vasco	CMR	2017	5.0
380	País Vasco	CAN	1998	39.0
381	País Vasco	CAN	1999	38.0
382	País Vasco	CAN	2000	32.0
383	País Vasco	CAN	2001	30.0
384	País Vasco	CAN	2002	33.0
385	País Vasco	CAN	2003	32.0
386	País Vasco	CAN	2004	32.0
387	País Vasco	CAN	2005	32.0
388	País Vasco	CAN	2006	30.0
389	País Vasco	CAN	2007	23.0
390	País Vasco	CAN	2008	18.0
391	País Vasco	CAN	2009	17.0
392	País Vasco	CAN	2010	20.0
393	País Vasco	CAN	2011	16.0
394	País Vasco	CAN	2012	16.0
395	País Vasco	CAN	2013	14.0
396	País Vasco	CAN	2014	12.0
397	País Vasco	CAN	2015	11.0
398	País Vasco	CAN	2016	11.0
399	País Vasco	CAN	2017	10.0
400	País Vasco	CHL	1998	400.0
401	País Vasco	CHL	1999	428.0
402	País Vasco	CHL	2000	424.0
403	País Vasco	CHL	2001	380.0
404	País Vasco	CHL	2002	457.0
405	País Vasco	CHL	2003	504.0
406	País Vasco	CHL	2004	539.0
407	País Vasco	CHL	2005	564.0
408	País Vasco	CHL	2006	530.0
409	País Vasco	CHL	2007	494.0
410	País Vasco	CHL	2008	439.0
411	País Vasco	CHL	2009	385.0
412	País Vasco	CHL	2010	297.0
413	País Vasco	CHL	2011	231.0
414	País Vasco	CHL	2012	185.0
415	País Vasco	CHL	2013	138.0
416	País Vasco	CHL	2014	96.0
417	País Vasco	CHL	2015	67.0
418	País Vasco	CHL	2016	43.0
419	País Vasco	CHL	2017	33.0
420	País Vasco	CHN	1998	1256.0
421	País Vasco	CHN	1999	1249.0
422	País Vasco	CHN	2000	1160.0
423	País Vasco	CHN	2001	1156.0
424	País Vasco	CHN	2002	1113.0
425	País Vasco	CHN	2003	1119.0
426	País Vasco	CHN	2004	1053.0
427	País Vasco	CHN	2005	970.0
428	País Vasco	CHN	2006	868.0
429	País Vasco	CHN	2007	675.0
430	País Vasco	CHN	2008	536.0
431	País Vasco	CHN	2009	417.0
432	País Vasco	CHN	2010	330.0
433	País Vasco	CHN	2011	260.0
434	País Vasco	CHN	2012	231.0
435	País Vasco	CHN	2013	224.0
436	País Vasco	CHN	2014	189.0
437	País Vasco	CHN	2015	175.0
438	País Vasco	CHN	2016	127.0
439	País Vasco	CHN	2017	92.0
440	País Vasco	COL	1998	1478.0
441	País Vasco	COL	1999	1346.0
442	País Vasco	COL	2000	1533.0
443	País Vasco	COL	2001	1935.0
444	País Vasco	COL	2002	2378.0
445	País Vasco	COL	2003	2647.0
446	País Vasco	COL	2004	2822.0
447	País Vasco	COL	2005	2957.0
448	País Vasco	COL	2006	2876.0
449	País Vasco	COL	2007	2543.0
450	País Vasco	COL	2008	2224.0
451	País Vasco	COL	2009	1988.0
452	País Vasco	COL	2010	1757.0
453	País Vasco	COL	2011	1539.0
454	País Vasco	COL	2012	1399.0
455	País Vasco	COL	2013	1017.0
456	País Vasco	COL	2014	456.0
457	País Vasco	COL	2015	195.0
458	País Vasco	COL	2016	102.0
459	País Vasco	COL	2017	72.0
460	País Vasco	COG	1998	55.0
461	País Vasco	COG	1999	60.0
462	País Vasco	COG	2000	54.0
463	País Vasco	COG	2001	42.0
464	País Vasco	COG	2002	38.0
465	País Vasco	COG	2003	42.0
466	País Vasco	COG	2004	47.0
467	País Vasco	COG	2005	28.0
468	País Vasco	COG	2006	22.0
469	País Vasco	COG	2007	11.0
470	País Vasco	COG	2008	13.0
471	País Vasco	COG	2009	10.0
472	País Vasco	COG	2010	10.0
473	País Vasco	COG	2011	5.0
474	País Vasco	COG	2012	5.0
475	País Vasco	COG	2013	2.0
476	País Vasco	COG	2014	2.0
477	País Vasco	COG	2015	3.0
478	País Vasco	COG	2016	0.0
479	País Vasco	COG	2017	0.0
480	País Vasco	CRI	1998	34.0
481	País Vasco	CRI	1999	28.0
482	País Vasco	CRI	2000	18.0
483	País Vasco	CRI	2001	18.0
484	País Vasco	CRI	2002	20.0
485	País Vasco	CRI	2003	20.0
486	País Vasco	CRI	2004	20.0
487	País Vasco	CRI	2005	23.0
488	País Vasco	CRI	2006	20.0
489	País Vasco	CRI	2007	20.0
490	País Vasco	CRI	2008	15.0
491	País Vasco	CRI	2009	11.0
492	País Vasco	CRI	2010	11.0
493	País Vasco	CRI	2011	7.0
494	País Vasco	CRI	2012	7.0
495	País Vasco	CRI	2013	9.0
496	País Vasco	CRI	2014	9.0
497	País Vasco	CRI	2015	8.0
498	País Vasco	CRI	2016	9.0
499	País Vasco	CRI	2017	11.0
500	País Vasco	HRV	1998	53.0
501	País Vasco	HRV	1999	55.0
502	País Vasco	HRV	2000	36.0
503	País Vasco	HRV	2001	24.0
504	País Vasco	HRV	2002	15.0
505	País Vasco	HRV	2003	19.0
506	País Vasco	HRV	2004	18.0
507	País Vasco	HRV	2005	21.0
508	País Vasco	HRV	2006	13.0
509	País Vasco	HRV	2007	12.0
510	País Vasco	HRV	2008	10.0
511	País Vasco	HRV	2009	10.0
512	País Vasco	HRV	2010	22.0
513	País Vasco	HRV	2011	20.0
514	País Vasco	HRV	2012	20.0
515	País Vasco	HRV	2013	9.0
516	País Vasco	HRV	2014	5.0
517	País Vasco	HRV	2015	4.0
518	País Vasco	HRV	2016	5.0
519	País Vasco	HRV	2017	1.0
520	País Vasco	CUB	1998	587.0
521	País Vasco	CUB	1999	612.0
522	País Vasco	CUB	2000	631.0
523	País Vasco	CUB	2001	685.0
524	País Vasco	CUB	2002	738.0
525	País Vasco	CUB	2003	757.0
526	País Vasco	CUB	2004	757.0
527	País Vasco	CUB	2005	784.0
528	País Vasco	CUB	2006	778.0
529	País Vasco	CUB	2007	706.0
530	País Vasco	CUB	2008	620.0
531	País Vasco	CUB	2009	616.0
532	País Vasco	CUB	2010	562.0
533	País Vasco	CUB	2011	499.0
534	País Vasco	CUB	2012	461.0
535	País Vasco	CUB	2013	393.0
536	País Vasco	CUB	2014	330.0
537	País Vasco	CUB	2015	306.0
538	País Vasco	CUB	2016	190.0
539	País Vasco	CUB	2017	138.0
540	País Vasco	CYP	1998	5.0
541	País Vasco	CYP	1999	5.0
542	País Vasco	CYP	2000	5.0
543	País Vasco	CYP	2001	3.0
544	País Vasco	CYP	2002	3.0
545	País Vasco	CYP	2003	3.0
546	País Vasco	CYP	2004	1.0
547	País Vasco	CYP	2005	1.0
548	País Vasco	CYP	2006	1.0
549	País Vasco	CYP	2007	2.0
550	País Vasco	CYP	2008	2.0
551	País Vasco	CYP	2009	2.0
552	País Vasco	CYP	2010	2.0
553	País Vasco	CYP	2011	1.0
554	País Vasco	CYP	2012	1.0
555	País Vasco	CYP	2013	1.0
556	País Vasco	CYP	2014	0.0
557	País Vasco	CYP	2015	0.0
558	País Vasco	CYP	2016	0.0
559	País Vasco	CYP	2017	0.0
560	País Vasco	CZE	1998	42.0
561	País Vasco	CZE	1999	49.0
562	País Vasco	CZE	2000	50.0
563	País Vasco	CZE	2001	50.0
564	País Vasco	CZE	2002	50.0
565	País Vasco	CZE	2003	49.0
566	País Vasco	CZE	2004	49.0
567	País Vasco	CZE	2005	43.0
568	País Vasco	CZE	2006	42.0
569	País Vasco	CZE	2007	38.0
570	País Vasco	CZE	2008	37.0
571	País Vasco	CZE	2009	28.0
572	País Vasco	CZE	2010	28.0
573	País Vasco	CZE	2011	29.0
574	País Vasco	CZE	2012	16.0
575	País Vasco	CZE	2013	15.0
576	País Vasco	CZE	2014	8.0
577	País Vasco	CZE	2015	4.0
578	País Vasco	CZE	2016	3.0
579	País Vasco	CZE	2017	5.0
580	País Vasco	COD	1998	28.0
581	País Vasco	COD	1999	23.0
582	País Vasco	COD	2000	9.0
583	País Vasco	COD	2001	8.0
584	País Vasco	COD	2002	9.0
585	País Vasco	COD	2003	7.0
586	País Vasco	COD	2004	3.0
587	País Vasco	COD	2005	5.0
588	País Vasco	COD	2006	3.0
589	País Vasco	COD	2007	6.0
590	País Vasco	COD	2008	2.0
591	País Vasco	COD	2009	1.0
592	País Vasco	COD	2010	1.0
593	País Vasco	COD	2011	3.0
594	País Vasco	COD	2012	3.0
595	País Vasco	COD	2013	4.0
596	País Vasco	COD	2014	5.0
597	País Vasco	COD	2015	4.0
598	País Vasco	COD	2016	4.0
599	País Vasco	COD	2017	2.0
600	País Vasco	DNK	1998	27.0
601	País Vasco	DNK	1999	25.0
602	País Vasco	DNK	2000	29.0
603	País Vasco	DNK	2001	25.0
604	País Vasco	DNK	2002	26.0
605	País Vasco	DNK	2003	22.0
606	País Vasco	DNK	2004	19.0
607	País Vasco	DNK	2005	18.0
608	País Vasco	DNK	2006	20.0
609	País Vasco	DNK	2007	19.0
610	País Vasco	DNK	2008	17.0
611	País Vasco	DNK	2009	15.0
612	País Vasco	DNK	2010	17.0
613	País Vasco	DNK	2011	17.0
614	País Vasco	DNK	2012	17.0
615	País Vasco	DNK	2013	18.0
616	País Vasco	DNK	2014	16.0
617	País Vasco	DNK	2015	20.0
618	País Vasco	DNK	2016	18.0
619	País Vasco	DNK	2017	10.0
620	País Vasco	DMA	1998	19.0
621	País Vasco	DMA	1999	18.0
622	País Vasco	DMA	2000	19.0
623	País Vasco	DMA	2001	15.0
624	País Vasco	DMA	2002	16.0
625	País Vasco	DMA	2003	11.0
626	País Vasco	DMA	2004	10.0
627	País Vasco	DMA	2005	17.0
628	País Vasco	DMA	2006	16.0
629	País Vasco	DMA	2007	13.0
630	País Vasco	DMA	2008	10.0
631	País Vasco	DMA	2009	14.0
632	País Vasco	DMA	2010	10.0
633	País Vasco	DMA	2011	5.0
634	País Vasco	DMA	2012	6.0
635	País Vasco	DMA	2013	6.0
636	País Vasco	DMA	2014	5.0
637	País Vasco	DMA	2015	8.0
638	País Vasco	DMA	2016	7.0
639	País Vasco	DMA	2017	7.0
640	País Vasco	DOM	1998	690.0
641	País Vasco	DOM	1999	706.0
642	País Vasco	DOM	2000	769.0
643	País Vasco	DOM	2001	868.0
644	País Vasco	DOM	2002	995.0
645	País Vasco	DOM	2003	1006.0
646	País Vasco	DOM	2004	904.0
647	País Vasco	DOM	2005	893.0
648	País Vasco	DOM	2006	812.0
649	País Vasco	DOM	2007	679.0
650	País Vasco	DOM	2008	515.0
651	País Vasco	DOM	2009	480.0
652	País Vasco	DOM	2010	462.0
653	País Vasco	DOM	2011	356.0
654	País Vasco	DOM	2012	309.0
655	País Vasco	DOM	2013	267.0
656	País Vasco	DOM	2014	219.0
657	País Vasco	DOM	2015	192.0
658	País Vasco	DOM	2016	141.0
659	País Vasco	DOM	2017	107.0
660	País Vasco	ECU	1998	941.0
661	País Vasco	ECU	1999	1040.0
662	País Vasco	ECU	2000	1231.0
663	País Vasco	ECU	2001	1585.0
664	País Vasco	ECU	2002	2044.0
665	País Vasco	ECU	2003	2434.0
666	País Vasco	ECU	2004	2851.0
667	País Vasco	ECU	2005	3155.0
668	País Vasco	ECU	2006	3181.0
669	País Vasco	ECU	2007	2989.0
670	País Vasco	ECU	2008	2762.0
671	País Vasco	ECU	2009	2805.0
672	País Vasco	ECU	2010	2738.0
673	País Vasco	ECU	2011	2516.0
674	País Vasco	ECU	2012	1658.0
675	País Vasco	ECU	2013	908.0
676	País Vasco	ECU	2014	315.0
677	País Vasco	ECU	2015	93.0
678	País Vasco	ECU	2016	32.0
679	País Vasco	ECU	2017	22.0
680	País Vasco	EGY	1998	30.0
681	País Vasco	EGY	1999	29.0
682	País Vasco	EGY	2000	29.0
683	País Vasco	EGY	2001	28.0
684	País Vasco	EGY	2002	23.0
685	País Vasco	EGY	2003	19.0
686	País Vasco	EGY	2004	20.0
687	País Vasco	EGY	2005	21.0
688	País Vasco	EGY	2006	23.0
689	País Vasco	EGY	2007	18.0
690	País Vasco	EGY	2008	18.0
691	País Vasco	EGY	2009	14.0
692	País Vasco	EGY	2010	13.0
693	País Vasco	EGY	2011	11.0
694	País Vasco	EGY	2012	9.0
695	País Vasco	EGY	2013	8.0
696	País Vasco	EGY	2014	3.0
697	País Vasco	EGY	2015	2.0
698	País Vasco	EGY	2016	2.0
699	País Vasco	EGY	2017	2.0
700	País Vasco	SLV	1998	51.0
701	País Vasco	SLV	1999	45.0
702	País Vasco	SLV	2000	46.0
703	País Vasco	SLV	2001	41.0
704	País Vasco	SLV	2002	36.0
705	País Vasco	SLV	2003	47.0
706	País Vasco	SLV	2004	46.0
707	País Vasco	SLV	2005	47.0
708	País Vasco	SLV	2006	52.0
709	País Vasco	SLV	2007	59.0
710	País Vasco	SLV	2008	50.0
711	País Vasco	SLV	2009	44.0
712	País Vasco	SLV	2010	24.0
713	País Vasco	SLV	2011	21.0
714	País Vasco	SLV	2012	17.0
715	País Vasco	SLV	2013	14.0
716	País Vasco	SLV	2014	11.0
717	País Vasco	SLV	2015	11.0
718	País Vasco	SLV	2016	8.0
719	País Vasco	SLV	2017	4.0
720	País Vasco	GNQ	1998	231.0
721	País Vasco	GNQ	1999	216.0
722	País Vasco	GNQ	2000	219.0
723	País Vasco	GNQ	2001	228.0
724	País Vasco	GNQ	2002	216.0
725	País Vasco	GNQ	2003	212.0
726	País Vasco	GNQ	2004	233.0
727	País Vasco	GNQ	2005	240.0
728	País Vasco	GNQ	2006	229.0
729	País Vasco	GNQ	2007	207.0
730	País Vasco	GNQ	2008	173.0
731	País Vasco	GNQ	2009	186.0
732	País Vasco	GNQ	2010	162.0
733	País Vasco	GNQ	2011	143.0
