Year	Province	poblacion_total	tasa_bruta_mortalidad	tasa_bruta_natalidad	tasa_fecundidad	PIB_pc	tasa_actividad	tasa_paro	ocupados
2004	Illes Balears	955045.0	7.63001	11.679868	43.832915	22710.0	63.207499999999996	9.1675	440.94999999999993
2004	La Rioja	293553.0	9.05769	9.985203	40.40499	21603.0	55.2025	5.9475	129.625
2004	Melilla	68016.0	7.037678	15.390088	58.118317	17524.0	56.2675	17.5875	22.275
2004	País Vasco	2115279.0	8.861801	9.286412	36.94077	24732.0	56.875	9.817499999999999	932.0
2004	Principado de Asturias	1073761.0	11.815705	6.795678	27.660144	17310.0	46.43	10.322500000000002	391.5
2004	Región de Murcia	1294694.0	7.426768	12.908412	49.052822	16841.0	58.74	10.7275	549.2
2005	Andalucía	7849799.0	8.445523	11.764963	44.641158	16529.0	54.662499999999994	13.825000000000001	2999.1500000000005
2005	Aragón	1269027.0	10.825917	9.200685	38.618944	22873.0	57.245000000000005	5.8950000000000005	578.65
2005	Canarias	1968280.0	6.821155	10.726572	38.651094	19595.0	59.527499999999996	11.707500000000001	815.7
2005	Cantabria	562309.0	9.624303	9.439703	37.213216	20019.0	54.900000000000006	8.504999999999999	241.125
2005	Castilla - La Mancha	1894667.0	9.512692	10.029273	40.68046	17141.0	54.5175	9.225	773.75
2005	Castilla y León	2510849.0	11.042267	7.808943	33.112517	19645.0	52.625	8.7525	1026.85
2005	Cataluña	6995206.0	8.896187	11.48669	45.293711	25205.0	62.09	6.915	3371.525
2005	Comunidad Foral de Navarra	593472.0	8.837904	10.458867	42.463616	26594.0	60.05	5.654999999999999	277.45000000000005
2005	Comunidad de Madrid	5964143.0	6.907931	11.73259	42.845801	28100.0	63.3125	6.835000000000001	2919.3
2005	Comunitat Valenciana	4692449.0	8.699899	10.945787	42.790887	19574.0	58.645	8.88	2071.5249999999996
2005	Cueta	75276.0	6.88446	14.752413	55.879302	18421.0	59.542500000000004	19.44	26.9
2005	Extremadura	1083879.0	10.420905	9.322003	38.020291	14194.0	51.6275	15.735	385.35
2005	Galicia	2762198.0	10.786863	7.74497	31.712168	17667.0	53.0125	9.8875	1132.8000000000002
2005	Illes Balears	983131.0	7.710989	11.444444	43.005155	23677.0	63.1275	7.2924999999999995	464.54999999999995
2005	La Rioja	301084.0	9.521154	10.106661	41.025176	22806.0	60.03	6.375000000000001	143.05
2005	Melilla	65488.0	6.239507	15.252128	57.715136	18223.0	52.2025	14.2575	22.025
2005	País Vasco	2124846.0	9.154608	9.287092	37.329151	26502.0	57.3525	7.4125	968.8500000000001
2005	Principado de Asturias	1076635.0	11.955105	7.041494	28.933048	18781.0	48.2975	10.0375	408.67500000000007
2005	Región de Murcia	1335792.0	7.445587	12.978477	49.695709	17874.0	58.25	8.0375	579.775
2006	Andalucía	7975672.0	7.878457	12.027432	45.826059	17550.0	55.495000000000005	12.6225	3138.5000000000005
2006	Aragón	1277471.0	10.124241	9.571613	40.28645	24480.0	57.19	5.5275	587.725
2006	Canarias	1995833.0	6.604065	10.75424	38.984052	20422.0	61.1025	11.620000000000001	859.9000000000001
2006	Cantabria	568091.0	9.658127	9.268186	36.913802	21227.0	55.5275	6.465	251.8
2006	Castilla - La Mancha	1932261.0	8.899541	10.503169	42.481398	18254.0	55.4625	8.8475	810.175
2006	Castilla y León	2523020.0	10.449141	7.901788	33.744935	20838.0	53.195	8.120000000000001	1050.55
2006	Cataluña	7134697.0	8.176572	11.629744	46.093322	26828.0	62.8925	6.4925	3486.95
2006	Comunidad Foral de Navarra	601874.0	8.299854	10.979875	44.856934	28185.0	60.980000000000004	5.375	286.40000000000003
2006	Comunidad de Madrid	6008183.0	6.642655	11.977498	44.047199	30200.0	64.27499999999999	6.3025	3023.925
2006	Comunitat Valenciana	4806908.0	8.142627	11.137764	43.781321	20770.0	59.5275	8.335	2164.625
2006	Cueta	75861.0	6.535466	14.203382	54.156878	19479.0	53.795	21.224999999999998	24.050000000000004
2006	Extremadura	1086373.0	9.61017	9.386591	38.272463	15058.0	51.6025	13.3125	399.42499999999995
2006	Galicia	2767524.0	10.751907	7.826221	32.305478	19086.0	53.3925	8.3525	1164.875
2006	Illes Balears	1001062.0	7.343978	11.826337	44.52752	24746.0	64.4425	6.5	494.775
2006	La Rioja	306377.0	8.702075	10.069871	41.18829	24338.0	59.6725	6.112500000000001	144.4
2006	Melilla	66871.0	6.683988	16.518579	63.072004	19078.0	54.115	13.602500000000001	23.700000000000003
2006	País Vasco	2133684.0	8.672123	9.383905	38.174609	28555.0	58.4275	7.165	993.5
2006	Principado de Asturias	1076896.0	11.601794	7.140433	29.726939	20399.0	50.0	9.1625	427.35
2006	Región de Murcia	1370306.0	7.099448	13.229925	50.824978	18967.0	59.35	7.8774999999999995	606.5
2007	Andalucía	8059461.0	8.099582	11.929075	45.609909	18459.0	56.3925	12.75	3238.625
2007	Aragón	1296655.0	10.142179	9.820653	41.431031	26141.0	59.43	5.305	623.325
2007	Canarias	2025951.0	6.677961	10.030662	36.552688	21167.0	60.932500000000005	10.4525	891.15
2007	Cantabria	572824.0	9.806888	9.394702	37.826485	22436.0	56.6325	5.9625	261.575
2007	Castilla - La Mancha	1977304.0	9.058218	10.420495	42.033441	19322.0	56.6575	7.664999999999999	865.025
2007	Castilla y León	2528417.0	10.818424	7.940683	34.177085	22082.0	53.7325	7.1325	1082.15
2007	Cataluña	7210508.0	8.296753	11.619602	46.252534	28124.0	63.2825	6.4725	3576.5750000000003
2007	Comunidad Foral de Navarra	605876.0	8.467039	10.815441	44.473514	29451.0	61.26	4.72	295.45
2007	Comunidad de Madrid	6081689.0	6.727551	12.163162	44.886619	31617.0	64.95500000000001	6.2425	3126.8
2007	Comunitat Valenciana	4885029.0	8.211515	11.191786	44.172658	21610.0	60.00999999999999	8.735	2230.0499999999997
2007	Cueta	76603.0	7.20194	15.23539	58.595625	20404.0	53.5325	21.005	24.5
2007	Extremadura	1089990.0	9.909163	9.192616	37.523475	16102.0	52.897499999999994	12.969999999999999	414.94999999999993
2007	Galicia	2772533.0	10.978552	7.918216	32.981778	20470.0	53.99	7.577500000000001	1193.3
2007	Illes Balears	1030650.0	7.055097	11.62389	43.873474	25502.0	64.39	7.217499999999999	509.725
2007	La Rioja	308968.0	9.111007	10.474777	43.112041	25492.0	59.4	5.7675	147.375
2007	Melilla	69440.0	6.178676	15.867638	61.098138	19426.0	55.785000000000004	18.1725	23.9
2007	País Vasco	2141860.0	8.949229	9.57355	39.431008	30259.0	57.9825	6.2225	1001.125
2007	Principado de Asturias	1074862.0	11.859971	7.33395	30.922574	21759.0	50.535	8.417499999999999	436.67499999999995
2007	Región de Murcia	1392117.0	7.16927	13.240941	50.868574	19923.0	60.5875	7.540000000000001	637.725
2008	Andalucía	8202220.0	8.028625	12.277799	47.283156	18625.0	57.545	17.7025	3160.675
2008	Aragón	1326918.0	10.02557	10.232846	43.384711	26650.0	59.9475	7.285	625.65
2008	Canarias	2075968.0	6.697628	10.284755	37.707053	21186.0	60.7825	17.235	839.9250000000001
2008	Cantabria	582138.0	9.501691	10.128025	41.271212	22850.0	57.2525	7.16	264.27500000000003
2008	Castilla - La Mancha	2043100.0	8.859688	11.235179	45.408356	19697.0	57.657500000000006	11.6625	861.05
2008	Castilla y León	2557330.0	10.757127	8.369055	36.39156	22421.0	54.59	9.6125	1075.15
2008	Cataluña	7364078.0	8.14818	12.098102	48.482721	28332.0	64.0075	8.885	3581.3500000000004
2008	Comunidad Foral de Navarra	620377.0	8.508362	11.301073	46.830959	30128.0	61.545	6.83	295.375
2008	Comunidad de Madrid	6271638.0	6.567737	12.539015	46.60671	32155.0	65.525	8.6	3131.6749999999997
2008	Comunitat Valenciana	5029601.0	8.077119	11.509678	45.803698	21878.0	60.83	11.9775	2217.025
2008	Cueta	77389.0	6.558807	15.374267	59.893496	20765.0	56.445	17.450000000000003	27.424999999999997
2008	Extremadura	1097744.0	9.565669	9.835022	40.323	16633.0	53.4025	15.35	410.40000000000003
2008	Galicia	2784169.0	10.735193	8.396776	35.30493	21226.0	54.7575	8.635000000000002	1201.2
2008	Illes Balears	1072844.0	7.081256	12.022437	45.589769	25717.0	64.98750000000001	10.1875	513.5
2008	La Rioja	317501.0	8.981051	11.04732	45.783235	25986.0	60.449999999999996	7.8925	148.85
2008	Melilla	71448.0	6.300814	17.337624	67.423128	19546.0	55.1225	19.8925	23.775
2008	País Vasco	2157112.0	8.968532	9.834787	41.10152	31243.0	58.495	6.6225000000000005	1010.2
2008	Principado de Asturias	1080138.0	11.862923	7.65443	32.74912	22336.0	52.665	8.5	456.25
2008	Región de Murcia	1426109.0	7.264403	13.542429	52.35331	20354.0	61.68	12.430000000000001	625.925
2009	Andalucía	8302923.0	7.851288	11.476247	44.624129	17747.0	58.2	25.245	2932.175
2009	Aragón	1345473.0	9.868481	9.715262	41.522065	25391.0	59.5	13.0525	584.1
2009	Canarias	2103992.0	6.339702	9.316845	34.447021	20006.0	61.8575	26.0	774.95
2009	Cantabria	589235.0	9.395377	9.576024	39.563	21830.0	57.0025	12.0	251.25
2009	Castilla - La Mancha	2081313.0	8.560816	10.753168	43.699147	18889.0	58.125	18.872500000000002	805.9
2009	Castilla y León	2563521.0	10.656432	8.013913	35.264281	21769.0	54.504999999999995	13.975	1020.5500000000001
2009	Cataluña	7475420.0	8.091688	11.440968	46.265154	27128.0	63.5475	16.2175	3290.3
2009	Comunidad Foral de Navarra	630578.0	8.168428	10.861613	45.342737	28892.0	61.015	10.8325	283.15000000000003
2009	Comunidad de Madrid	6386932.0	6.494714	11.954031	44.853758	31405.0	65.77499999999999	13.855	2988.675
2009	Comunitat Valenciana	5094675.0	8.042094	10.510597	42.290874	20621.0	60.845000000000006	20.7625	2003.925
2009	Cueta	78674.0	7.068415	14.805116	58.216778	20109.0	57.6725	18.6325	28.400000000000002
2009	Extremadura	1102410.0	9.796503	9.400924	38.840437	16204.0	53.69500000000001	20.63	389.15
2009	Galicia	2796089.0	10.898678	8.138619	34.609459	20490.0	54.8175	12.4375	1155.4
2009	Illes Balears	1095426.0	7.229699	11.171991	42.613284	24260.0	65.8625	17.97	484.3
2009	La Rioja	321702.0	8.583878	10.413229	43.501902	24861.0	60.51	12.6475	141.55
2009	Melilla	73460.0	5.383729	17.090991	67.313377	18883.0	54.19250000000001	23.4675	23.125
2009	País Vasco	2172175.0	9.009591	9.602606	40.776743	29828.0	57.932500000000005	11.3375	951.9000000000001
2009	Principado de Asturias	1085289.0	11.853074	7.627066	33.132097	21110.0	51.9625	13.42	426.15
2009	Región de Murcia	1446520.0	7.13231	12.821037	49.9896	19190.0	61.31	20.3275	572.025
2010	Andalucía	8370975.0	7.764861	11.104651	43.643069	17599.0	58.61	27.7725	2873.9500000000003
2010	Aragón	1347095.0	9.818171	9.629159	41.581956	25603.0	58.805	14.955	562.85
2010	Canarias	2118519.0	6.234912	8.915715	33.341237	20091.0	61.92750000000001	28.6	756.825
2010	Cantabria	592250.0	9.270642	9.455512	39.727699	21754.0	56.1275	13.7	243.175
2010	Castilla - La Mancha	2098373.0	8.350371	10.52251	43.11095	18765.0	58.287499999999994	21.2225	789.45
2010	Castilla y León	2559515.0	10.645532	8.048285	35.918061	21827.0	55.1425	15.7975	1008.1250000000001
2010	Cataluña	7512381.0	7.984211	11.283282	46.115366	27192.0	63.7875	17.6575	3249.1
2010	Comunidad Foral de Navarra	636924.0	7.8443	10.674295	44.979703	28752.0	60.725	11.9025	280.175
2010	Comunidad de Madrid	6458684.0	6.395005	11.57172	43.944886	31009.0	66.0775	15.8425	2940.475
2010	Comunitat Valenciana	5111706.0	8.043621	10.359753	42.240099	20511.0	60.1225	22.8575	1927.8249999999998
2010	Cueta	80579.0	6.64829	14.785002	58.738552	19706.0	56.625	23.92	26.900000000000002
2010	Extremadura	1107220.0	9.828788	9.203584	38.405307	16381.0	54.44499999999999	22.970000000000002	384.575
2010	Galicia	2797653.0	10.73293	7.95418	34.277395	20574.0	54.195	15.325000000000001	1104.5
2010	Illes Balears	1106049.0	7.063918	11.002721	42.356446	24084.0	66.325	20.18	478.425
2010	La Rioja	322415.0	8.924993	10.547435	44.473848	25052.0	59.9025	14.145	137.475
2010	Melilla	76034.0	5.256786	17.552758	70.41239	18381.0	54.1175	22.7725	24.199999999999996
2010	País Vasco	2178339.0	8.877684	9.70617	41.921052	30114.0	58.19500000000001	10.690000000000001	962.1
2010	Principado de Asturias	1084341.0	11.824395	7.213578	31.847986	21250.0	51.84	15.915000000000001	411.99999999999994
2010	Región de Murcia	1461979.0	6.849199	12.384994	48.835278	19213.0	61.94	22.8625	562.275
2011	Andalucía	8424102.0	7.865911	10.721257	42.622814	17318.0	58.645	30.130000000000003	2797.95
2011	Aragón	1346293.0	10.080582	9.379189	40.95196	25227.0	59.1125	17.0775	550.375
2011	Canarias	2126769.0	6.54055	8.400737	31.766846	19792.0	62.7875	29.28	768.675
2011	Cantabria	593121.0	9.476567	9.033673	38.581296	21285.0	56.43750000000001	15.3	240.2
2011	Castilla - La Mancha	2115334.0	8.583109	10.157289	42.014334	18435.0	59.14	23.075	785.5999999999999
2011	Castilla y León	2558463.0	10.653726	7.815487	35.417104	21672.0	55.2975	16.867500000000003	994.8
2011	Cataluña	7539618.0	8.020763	10.827124	44.757066	26677.0	64.09	19.16	3206.8
2011	Comunidad Foral de Navarra	642051.0	8.077278	10.565605	44.969072	28533.0	60.9825	12.9875	279.025
2011	Comunidad de Madrid	6489680.0	6.492962	11.237627	43.214827	31046.0	65.23750000000001	16.3375	2890.8
2011	Comunitat Valenciana	5117190.0	8.15414	9.885005	40.82678	20124.0	59.7425	23.985000000000003	1890.15
2011	Cueta	82376.0	6.211524	14.063372	56.32307	19115.0	57.525000000000006	27.745	26.575
2011	Extremadura	1109367.0	9.591182	9.005779	37.966228	15916.0	54.2375	25.080000000000002	373.75
2011	Galicia	2795422.0	10.780218	7.791025	34.045773	20143.0	54.7775	17.259999999999998	1089.325
2011	Illes Balears	1113114.0	6.999825	10.283389	39.976644	23762.0	65.4725	21.9475	465.075
2011	La Rioja	322955.0	8.986153	9.880096	42.13205	24649.0	60.605	17.2075	134.10000000000002
2011	Melilla	78476.0	5.949795	18.148745	73.629188	17773.0	56.597500000000004	22.4075	26.325
2011	País Vasco	2184606.0	9.08052	9.686285	42.53578	29842.0	59.0625	12.3475	956.2750000000001
2011	Principado de Asturias	1081487.0	11.792237	7.238302	32.471013	20895.0	51.864999999999995	17.84	401.525
2011	Región de Murcia	1470069.0	6.978955	11.914253	47.464539	18646.0	61.495	24.985	544.225
2012	Andalucía	8449985.0	8.154586	10.303424	41.392778	16666.0	59.035	34.3525	2655.4750000000004
2012	Aragón	1349467.0	10.236217	8.935433	39.413485	24267.0	60.1225	18.665	546.325
2012	Canarias	2118344.0	6.728221	8.219028	31.388812	19017.0	62.9775	32.575	743.5
2012	Cantabria	593861.0	9.832806	8.567331	37.1548	20559.0	56.88	17.7925	234.25
2012	Castilla - La Mancha	2121888.0	9.074474	9.708463	40.548713	17864.0	59.1875	28.585	727.9000000000001
2012	Castilla y León	2546078.0	11.182943	7.53708	34.64432	21150.0	55.442499999999995	19.8	955.425
2012	Cataluña	7570908.0	8.401001	10.330068	43.141871	26041.0	63.4325	22.515	3031.65
2012	Comunidad Foral de Navarra	644566.0	8.408226	10.527487	45.225625	27485.0	60.715	16.1625	267.52500000000003
2012	Comunidad de Madrid	6498560.0	6.660049	10.795445	42.056775	30455.0	65.325	18.53	2819.0
2012	Comunitat Valenciana	5129266.0	8.461719	9.516059	39.816243	19288.0	59.6175	27.19	1803.575
2012	Cueta	84018.0	5.784257	13.397622	54.295697	18227.0	59.4975	37.02	24.325
2012	Extremadura	1108130.0	10.29657	8.550681	36.428744	15313.0	55.1675	33.075	339.4
2012	Galicia	2781498.0	11.161905	7.625066	33.776708	19533.0	55.015	20.5325	1047.15
2012	Illes Balears	1119439.0	7.305839	9.962672	39.0476	23224.0	67.0025	23.2575	471.85
2012	La Rioja	323609.0	9.444492	9.959987	42.999799	23917.0	59.85000000000001	20.567500000000003	126.4
2012	Melilla	80802.0	5.698508	18.341695	75.107392	16668.0	56.8725	26.8575	25.575000000000003
2012	País Vasco	2193093.0	9.303278	9.418875	42.017006	29275.0	58.1725	15.5975	902.825
2012	Principado de Asturias	1077360.0	12.282778	7.1188	32.439162	20005.0	52.3	21.822499999999998	382.90000000000003
2012	Región de Murcia	1474449.0	7.308782	11.416207	45.869746	18168.0	61.775	27.615000000000002	527.525
2013	Andalucía	8440300.0	7.832113	9.713537	39.520905	16379.0	58.8075	36.2225	2571.5
2013	Aragón	1347150.0	10.005972	8.738834	39.051789	24417.0	59.057500000000005	21.3825	515.25
2013	Canarias	2118679.0	6.46016	7.521597	29.028288	18761.0	62.2425	33.73	729.675
2013	Cantabria	591888.0	9.520194	8.20847	36.254864	19965.0	56.1425	20.447499999999998	222.475
2013	Castilla - La Mancha	2100998.0	8.74837	9.151521	38.714859	17557.0	59.5275	29.967499999999998	712.3000000000001
2013	Castilla y León	2519875.0	10.975056	7.11282	33.25134	20688.0	54.9825	21.7475	916.375
2013	Cataluña	7553650.0	8.169059	9.617826	40.691949	25945.0	63.1475	23.12	2969.575
2013	Comunidad Foral de Navarra	644477.0	8.356091	9.536587	41.484553	27442.0	60.175	17.93	258.125
2013	Comunidad de Madrid	6495551.0	6.631457	10.221482	40.574989	30188.0	64.4625	19.7625	2718.075
2013	Comunitat Valenciana	5113815.0	8.15761	8.895678	37.766182	19176.0	59.65	28.05	1771.2
2013	Cueta	84180.0	6.284011	12.852044	52.588302	18434.0	60.3325	34.79	25.525
2013	Extremadura	1104004.0	10.055101	8.085602	34.913722	15280.0	55.99	33.86749999999999	339.70000000000005
2013	Galicia	2765940.0	11.053564	7.16504	32.20862	19508.0	54.1875	22.0425	1006.35
2013	Illes Balears	1111674.0	6.883934	9.46496	37.400635	22924.0	66.225	22.335	475.85
2013	La Rioja	322027.0	9.061771	9.162773	40.095518	23726.0	59.31	20.035	124.525
2013	Melilla	83679.0	5.511381	18.040508	73.770661	16670.0	59.15	32.4075	24.625
2013	País Vasco	2191682.0	9.083789	8.805563	40.010207	28858.0	57.4475	16.572499999999998	873.5749999999999
2013	Principado de Asturias	1068165.0	11.968744	6.276017	29.105376	19445.0	52.434999999999995	24.1275	369.45000000000005
2013	Región de Murcia	1472049.0	6.922327	11.021658	44.724433	18122.0	61.400000000000006	28.979999999999997	514.8749999999999
2014	Andalucía	8402305.0	7.904085	9.795788	40.434958	16576.0	58.832499999999996	34.78	2634.05
2014	Aragón	1325385.0	10.345287	8.734247	39.587276	24694.0	58.92	20.1725	519.375
2014	Canarias	2104815.0	6.764938	7.740664	30.231309	18803.0	61.315	32.417500000000004	738.8249999999999
2014	Cantabria	588656.0	10.06244	7.78692	35.003019	20360.0	56.489999999999995	19.4175	225.625
2014	Castilla - La Mancha	2078611.0	8.889137	8.895425	38.185561	17298.0	59.15	28.994999999999997	712.125
2014	Castilla y León	2494790.0	11.180384	7.196616	34.265006	20877.0	55.012499999999996	20.765	919.95
