	MAE	MSE	RMSE
China	3918.5422647527903	61783642.90445	7860.25718
Ecuador	16886.545454545452	1011564029.23416	31805.09439
Germany	3014.204146730463	28385255.93852	5327.78152
Morocco	18154.86762360447	1042106357.08801	32281.67215
Peru	3278.7113237639555	56463142.84906	7514.19609
Poland	2151.6220095693775	16181724.06858	4022.65137
Romania	22049.11004784688	1436520074.13397	37901.45214
