Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2005	Centro	14972	16261.997187766352	16243.115390692043	16249.165486194272
2005	Isole	256	261.3297264619355	260.68859939956656	261.19576244117445
2005	Nord-est	4512	4892.019328902136	4927.924796711861	4892.988565245119
2005	Nord-ovest	33260	34174.39329911885	34063.83768669582	34191.60917418877
2005	Sud	984	989.4041118522304	989.0350373681327	990.1315794872959
2006	Centro	16409	17809.42609733138	17788.74758129814	17795.37338054559
2006	Isole	269	277.97744485957105	277.2954755136396	277.83494681046466
2006	Nord-est	5036	5231.538809710444	5269.936214891893	5232.575313698509
2006	Nord-ovest	37209	38672.35843125377	38547.251710768986	38691.84022528547
2006	Sud	1049	1061.6850605914688	1061.2890233592427	1062.4656733976637
2007	Centro	19622	19138.00944283271	19115.78830931916	19122.90839324949
2007	Isole	272	292.3266353096941	291.60946271901406	292.1767815139857
2007	Nord-est	5476	5674.643935955531	5716.293555770058	5675.768230600836
2007	Nord-ovest	40861	41997.92106030444	41862.056003603255	42019.0781575452
2007	Sud	1101	1124.7910634327363	1124.3714859552626	1125.6180754544748
2008	Centro	20864	21625.21062747191	21600.101605865086	21608.147025381604
2008	Isole	306	303.0692089167516	302.3256812888851	302.9138482146034
2008	Nord-est	5950	6106.775353803479	6151.596645614772	6107.985264928792
2008	Nord-ovest	43429	45425.495169937174	45278.54176555125	45448.37896023574
2008	Sud	1146	1188.6611659531914	1188.2177632006299	1189.535139001142
2009	Centro	22752	23120.581261667085	23093.735965939697	23102.33772149807
2009	Isole	329	333.545308224508	332.7270127840157	333.3743247271437
2009	Nord-est	6818	6601.989752396482	6650.4457200853785	6603.2977783820215
2009	Nord-ovest	47585	48556.11176195605	48399.030680055475	48580.57264840577
2009	Sud	1258	1257.0280714967994	1256.559166040044	1257.9523118829366
2010	Centro	26006	24309.066812159213	24280.841566433613	24289.885484845694
2010	Isole	384	348.1520252212433	347.29789473938104	347.9735539628596
2010	Nord-est	7631	7120.152717902233	7172.4117947833265	7121.563405456349
2010	Nord-ovest	53598	51177.02567478384	51011.465825163694	51202.8068868381
2010	Sud	1373	1326.1410290167325	1325.6463425582263	1327.1160852820005
2011	Centro	29155	26160.11694708275	26129.74244794021	26139.475029003403
2011	Isole	429	378.70553927283675	377.77645105472976	378.51140553454223
2011	Nord-est	8274	7580.094799462785	7635.729667503623	7581.596613513155
2011	Nord-ovest	60568	54660.54912948951	54483.719933679255	54688.085219942775
2011	Sud	1491	1393.6780879385483	1393.1582083310732	1394.7028013903425
2012	Centro	27318	27833.118491891273	27800.80147146377	27811.15647417688
2012	Isole	361	402.20459338650977	401.2178543234858	401.9984134573136
2012	Nord-est	7785	7927.776136416473	7985.962846593	7929.346835188052
2012	Nord-ovest	58256	58394.193845743845	58205.28615084913	58423.61081702002
2012	Sud	1401	1458.762791395399	1458.2186334338487	1459.835358918887
2013	Centro	29374	28383.92458489548	28350.968023779624	28361.527947784278
2013	Isole	394	388.14528189443007	387.1930349085149	387.9463091127796
2013	Nord-est	8181	8101.950574906794	8161.4156558897375	8103.555782167497
2013	Nord-ovest	61073	60354.824489774306	60159.574071551855	60385.229158825554
2013	Sud	1509	1489.7858439028287	1489.2301135039286	1490.881221384726
2014	Centro	33862	30897.703491022916	30861.828182434216	30873.323329971252
2014	Isole	434	425.7665267292462	424.72198255804653	425.54826837571557
2014	Nord-est	8574	8716.210603739199	8780.184107974204	8717.937511897619
2014	Nord-ovest	66723	64851.00602670239	64641.21027042447	64883.67571620196
2014	Sud	1663	1623.13950830947	1622.5340333882798	1624.332935186665
2015	Centro	33027	32928.117102557415	32889.88428170572	32902.13482208393
2015	Isole	415	443.2734386549412	442.18594431819344	443.046205829411
2015	Nord-est	8307	8845.70558620193	8910.629531882852	8847.45815068646
2015	Nord-ovest	67649	67233.53031710933	67016.02699365579	67267.40023978277
2015	Sud	1590	1690.2991671521047	1689.6686398623801	1691.5419737292673
2016	Centro	31801	32944.46168102735	32906.2098824935	32918.46650369066
2016	Isole	424	439.0094873110401	437.9324538378015	438.78444029144293
2016	Nord-est	7965	8819.858691984446	8884.59293178606	8821.606135526556
2016	Nord-ovest	63276	68618.25869786898	68396.27571934627	68652.8261987145
2016	Sud	1538	1673.9339502023452	1673.3095275810083	1675.1647241170908
