	MAE	MPE	MAPE
Romania	74943.04444444444	36.36439643380152	36.36439643380152
Morocco	9959.074074074073	14.868793457292687	15.13127120552558
Albania	10197.348148148149	11.223283542726952	11.246509405805764
Tunisia	1404.488888888889	4.815107085538037	8.09581102468453
Egypt	5508.05925925926	38.09936868726539	38.09936868726539
Ecuador	2189.9703703703703	12.887097065249579	12.938754908008717
Peru	4672.696296296298	18.63677340003186	18.63677340003186
China	15906.792592592592	28.914539411985704	28.914539411985704
Philippines	8715.185185185184	25.63484296836302	25.63484296836302
