Metric	MAE	MAE	MAE	MAE	MSE	MSE	MSE	MSE	RMSE	RMSE	RMSE	RMSE
Alpha	0.5	0.65	0.8	0.95	0.5	0.65	0.8	0.95	0.5	0.65	0.8	0.95
China	1206.5179349459136	952.9549497471903	784.6882985093172	674.1033973693211	6296740.25715	4071413.27591	2899996.12752	2220709.8874	2509.33064	2017.77434	1702.9375	1490.20465
Ecuador	4570.713657641701	3850.8527683002058	3291.7187233888994	2876.068811956627	124490853.07376	90986567.2985	68483458.20757	53267025.51965	11157.54691	9538.68792	8275.47329	7298.42624
Germany	840.3256272536057	716.4915240442775	632.1315378017797	573.6562657282773	2927684.23893	2102312.81891	1658595.90143	1407556.29635	1711.0477	1449.93545	1287.86486	1186.40478
Morocco	4826.598978760754	3883.83461436296	3243.4230837820273	2778.6341857732523	82920630.08161	53689328.59478	37798339.89595	28360167.4233	9106.07655	7327.30023	6148.03545	5325.4265
Peru	962.415747762209	787.8560657360105	662.2702563392509	568.0948668076695	5322665.49308	3626923.04866	2649572.80215	2035637.29243	2307.09027	1904.44823	1627.75084	1426.75762
Poland	633.4459816627657	504.86218444512696	419.2158175388382	357.4803269770641	1689410.13842	1128725.88145	811015.23255	615271.84205	1299.77311	1062.41512	900.56384	784.39266
Romania	6800.6753957648025	5321.288665899977	4350.2341084752	3671.1412296876297	166794297.5372	106925550.55062	74798854.98273	55855007.2744	12914.88666	10340.48116	8648.63313	7473.62076
