	Values
beta	0.956675900762642
a_Centro	-0.08287701385991005
a_Isole	-0.2588816310437101
a_Nord Est	-0.062297763944183224
a_ Nord Ovest	-0.25665526687486706
a_Sud	-0.21861133292372814
rho	-0.2586786438752546
