Year	Province	Immigrant Stock	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2003	Andalucía	5794.0	5452.877609379761	4664.896835294822	6850.590304858198	5756.689501360392	5421.4656621808945	5324.225484807718	5323.733540014637	5713.980872209685
2003	Aragón	2215.0	2164.07823831683	1929.6575375392995	1829.7870516000908	2036.3854692227637	2045.2457575525218	1987.7064591455735	1982.5363915993923	1987.555806091637
2003	Canarias	655.0	684.8596699149892	663.0847994220434	590.3420279281562	502.37762995820566	504.1532760589046	739.612477641916	738.0407371674108	726.8924416929972
2003	Cantabria	2881.0	2498.7825430471	2303.244042191552	2027.985155976845	2253.546894117631	2268.915536848224	2284.037810072641	2286.15550013066	2307.892063915014
2003	Castilla y León	3585.0	3347.8331497981244	2962.244956373281	3138.012191995704	3574.0499107884134	3469.617867686158	3355.4717711286985	3344.2148755764547	3320.8420049078936
2003	Castilla-La Mancha	4433.0	3840.7805858315073	3339.817572748552	3072.8834962126894	2960.051321541997	2906.4962153822225	3086.495362282226	3081.7294639052184	3058.2340708985416
2003	Cataluña	30873.0	32282.39557543561	19452.888996276743	36513.840130405086	35690.990691917345	35854.46601300798	33141.876265160565	33018.42905471522	31883.716795759585
2003	Com. Foral de Navarra	1889.0	1875.059406283179	1614.975918616751	1473.3638319484166	1614.457730544595	1692.1089192098427	1674.0260884447882	1667.8151658757722	1707.2760283966154
2003	Com. Valenciana	4433.0	4482.777913563481	3529.552414737076	4478.61532473124	4233.031943139655	4168.689342709968	4266.528660904191	4241.398853760567	4261.685671051959
2003	Com. de Madrid	52188.0	51249.26172993957	28380.54672833571	51286.10564432672	49498.32661655454	51833.952368877915	51257.00781522468	51697.94192992333	50205.05325369809
2003	Cueta	17.0	12.304757685822874	29.2175737302599	21.05167669543609	17.82097569173714	17.864817314421778	16.943259196428635	16.869532055733856	16.424263472426613
2003	Extremadura	668.0	610.9722043758088	676.461654826509	538.084286796882	523.4331060253809	492.8850734065064	534.7619066845344	535.1065460887172	519.0681502273393
2003	Galicia	1692.0	1571.2742661094799	1591.7924721689758	1724.9674026949526	1960.4510805595758	1891.0273273699518	1831.0748254282248	1844.1989721132784	1847.9845234845723
2003	Illes Balears	1850.0	1898.0760188999648	1583.7390074699306	1470.8182841514924	1450.018558140605	1549.4052101990492	1936.7323824377888	1950.4285248995936	1997.797664708302
2003	La Rioja	466.0	475.7466153216192	494.91448724470257	425.5194147368145	468.17049981143464	481.2412513199813	481.5399399817465	480.7082712673456	488.8183617155287
2003	Melilla	35.0	20.896359706001466	49.87081028101371	36.79499949297208	31.12031335692839	31.677368216023744	19.700736003684572	19.788298437878673	19.77098060373255
2003	País Vasco	1681.0	1487.9544104288887	1499.3541841681692	1652.9069858841183	1866.0964255830156	1915.1238670763084	1743.9234471474133	1728.1300243410606	1732.1778400419287
2003	Princ. de Asturias	845.0	744.2389200162213	838.376971511489	741.8161768727426	860.9458168130087	814.7521204812801	833.3320709167372	839.521288953718	832.1780724395102
2003	Reg. de Murcia	944.0	838.2389382760304	883.8385859512123	776.3297607993603	711.0335606679226	723.9220338345395	750.2804912408018	751.8717537149901	755.6016690661492
2004	Andalucía	6285.0	5552.048877159949	4749.737128138393	6975.181717731054	5861.38618391288	5520.065642129159	5421.056961525206	5420.556069751777	5817.900814625773
2004	Aragón	2366.0	2131.6062528907814	1900.7030338033455	1802.3311041115471	2005.8295132930716	2014.5568530314042	1957.8809315699905	1952.7884408669395	1957.7325390645337
2004	Canarias	743.0	703.5423817185471	681.1735010248985	606.4463343398313	516.0823009869855	517.906386039227	759.788825254581	758.1742082966068	746.7217915538528
2004	Cantabria	2996.0	2543.0923167857354	2344.0864206763586	2063.946493891853	2293.5080156908534	2309.149183569326	2324.5396131832827	2326.694855275423	2348.816863653914
2004	Castilla y León	3827.0	3297.859637361365	2918.0271657773	3091.1707025048504	3520.699633258252	3417.826459959613	3305.384236062673	3294.2953735588903	3271.271392572334
2004	Castilla-La Mancha	4546.0	3981.0683430408953	3461.8072324801715	3185.123163180307	3068.1696979615417	3012.6584462833325	3199.232214163081	3194.2922373196116	3169.938655224545
2004	Cataluña	32577.0	33338.5920749053	20089.33721816997	37708.478553003355	36858.70760881476	37027.53141965672	34226.19275014155	34098.70666621059	32926.86955655998
2004	Com. Foral de Navarra	2198.0	1903.8439919891578	1639.7678865868008	1495.9818713314332	1639.2417436578946	1718.0849784459563	1699.7245528536573	1693.4182845945784	1733.4849223647038
2004	Com. Valenciana	4937.0	4624.159138936526	3640.870096548636	4619.865267243263	4366.536492038573	4300.164606226516	4401.089654511028	4375.167284586945	4396.093922798054
2004	Com. de Madrid	58137.0	56022.86266227554	31024.046356418014	56063.13839476372	54108.83709241215	56662.014178989484	56031.330254928565	56513.335078355	54881.39162287742
2004	Cueta	15.0	12.422588754175885	29.497362899231995	21.253268764047355	17.991630381448733	18.03589183403747	17.105508822424714	17.031075666383966	16.581543165475516
2004	Extremadura	691.0	614.0870831344373	679.9104140737464	540.8275659563778	526.1016900490797	495.39791643701295	537.4882475755363	537.8346440317614	521.7144806886007
2004	Galicia	1719.0	1527.3466396673657	1547.2912246153332	1676.7430249877918	1905.643358838219	1838.1604639456473	1779.884035472677	1792.641274466701	1796.320994354528
2004	Illes Balears	1999.0	1950.782998267008	1627.7172772327383	1511.660899612369	1490.2835936105946	1592.4300772918218	1990.512796237964	2004.5892618748987	2053.273778017153
2004	La Rioja	477.0	476.2306138957948	495.4179861629311	425.952314905484	468.64679086024563	481.73083983616215	482.02983236742796	481.1973175587849	489.31565876921604
