	Values
beta	0.8506220125837107
a_Centro	-0.5377254426661534
a_Isole	-0.6770836340717069
a_Nord Est	-0.7492121762734305
a_ Nord Ovest	-0.7241944633635913
a_Sud	-0.6502654384352939
rho	-0.6425913245376462
