	Values
beta	0.9706772494900409
a_Centro	-0.07994334744990415
a_Isole	-0.15303518896584387
a_Nord Est	-0.15388110419050124
a_ Nord Ovest	-0.20884627780354903
a_Sud	-0.20629163122214159
rho	-0.13890288135540746
