	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.55293	0.90848	0.901	0.88706	0.89101	0.84819	0.86334	0.7416
R2_adj	0.55293	0.9069	0.89753	0.88101	0.88308	0.83414	0.84787	0.70681
MAE	599.57414	290.40291	279.71105	288.98372	284.69107	346.37622	332.67769	461.39433
MSE	2042755.38305	418178.65526	452348.60069	516029.38258	498010.42503	693632.08813	624411.1617	1180704.27423
RMSE	1429.24994	646.66735	672.56866	718.35185	705.69854	832.84578	790.19691	1086.60217
a Andalucía	-0.3284588661001814							
a Aragón	-0.2707932850610635							
a Canarias	-0.6716772939353148							
a Cantabria	-0.6685889625536823							
a Castilla y León	-0.46551613536977354							
a Castilla-La Mancha	-0.28784240817321344							
a Cataluña	-0.2523539833866056							
a Com. Foral de Navarra	-0.5410978538157383							
a Com. Valenciana	-0.1669053387806953							
a Com. de Madrid	-0.10188857998909935							
a Cueta	-1.0940689081574249							
a Extremadura	-0.7368547982753647							
a Galicia	-0.7143106219575388							
a Illes Balears	-0.5186781213773892							
a La Rioja	-0.4239968045288114							
a Melilla	-1.4078520592184514							
a País Vasco	-0.5920602388611574							
a Princ. de Asturias	-0.7554387347399076							
a Reg. de Murcia	-0.535409457276482							
PIB_pc		1.4542205863461497e-06	9.587205025988511e-06	1.3663685006473332e-05	3.956551087508364e-06	1.1895740022645207e-05	8.410888460715082e-06	-3.2028365953458426e-05
tasa_bruta_mortalidad			-0.020298964563775	0.00581982232328393	0.005013699716822195	-0.045865334710521566	-0.07363458875918383	-0.09194182419741281
tasa_paro				-0.0120377492829431	-0.01823944972216296	-0.00445346109741962	-0.003326106818299479	-0.024905297668055937
tasa_actividad					0.006286710027943343	0.019992570190414227	0.025295543037582746	0.04428459009592345
tasa_bruta_natalidad						-0.09528718876215159	-0.23719488820745482	-0.4444241498899544
tasa_fecundidad							0.0326708965789031	0.08806663429071904
poblacion_total								7.409876755153379e-08
