	Entity Effect	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99884	0.81746	0.99031	0.99184	0.99231	0.9979	0.99802	0.99876
R2_adj	0.99884	0.81431	0.98997	0.9914	0.99175	0.9977	0.99779	0.99859
MAE	60.38463	550.79117	136.43315	136.35209	119.7908	75.2314	72.6121	64.8014
MSE	19067.04044	2999124.90397	159247.79515	134117.80477	126413.66109	34561.57351	32578.78979	20393.67709
RMSE	138.08345	1731.79817	399.05864	366.22098	355.54699	185.90743	180.49596	142.80643
a Andalucía	-0.5377254426661534							
a Aragón	-0.6770836340717069							
a Canarias	-0.7492121762734305							
a Cantabria	-0.7241944633635913							
a Castilla y León	-0.6502654384352939							
a Castilla-La Mancha	-0.6425913245376462							
a Cataluña	-0.16831773480318712							
a Com. Foral de Navarra	-0.654661322772815							
a Com. Valenciana	-0.4928469890755536							
a Com. de Madrid	-0.09582503368038017							
a Cueta	-1.6798439677982466							
a Extremadura	-0.9019207693963773							
a Galicia	-0.7813199269277784							
a Illes Balears	-0.6125598558408091							
a La Rioja	-0.8498441500038053							
a Melilla	-1.6849633550642962							
a País Vasco	-0.7823019385896635							
a Princ. de Asturias	-0.917785310451606							
a Reg. de Murcia	-0.8447247252629204							
ocupados		4.7626703526120154e-05	0.000332968578695976	0.00031468729246751474	0.00030232917830904857	0.00024108009627521465	0.0002405987549037661	1.729459219745877e-05
tasa_paro			-0.010062141182823892	-0.021239025930072153	-0.025587759882051364	-0.02001276137495593	-0.020755999157011595	-0.025548978483215024
tasa_bruta_mortalidad				0.03564775936422393	0.02342697058043708	-0.007320314161948449	-0.0007126535907643616	0.0038289768439625504
tasa_actividad					0.0038304443198451388	0.019976121420989812	0.019199017309121214	0.02026249797785784
tasa_fecundidad						-0.01951718395517288	-0.027093743440841145	-0.0358023986432201
tasa_bruta_natalidad							0.03309269286881644	0.07232022829697371
poblacion_total								8.099340858012732e-08
