	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.83128	0.98873	0.98925	0.99494	0.99883	0.9909	0.94446
R2_adj	0.82525	0.9879	0.98801	0.99413	0.99859	0.98852	0.92678
internal_migration - Foreign country	6.864138861943257e-06	2.0389587482878423e-05	1.955977481919106e-05	2.7862439462041436e-05	3.132510285337557e-05	1.8596649169921875e-05	2.1457672119140625e-05
Recreation, shows and culture		-0.0016306048486347258	-0.0009372424652437095	0.02955268045936066	0.028336369441440468	0.00537109375	0.0205078125
Clothing and footwear			-0.0006310557563161956	-0.009816606391163774	-0.008798324608878971	0.000244140625	-0.00634765625
Accommodation and catering services				-0.023778948259483457	-0.023394185372090703	-0.006591796875	-0.016845703125
reach_difficulty - Food stores, markets					-0.00022561973147403047	0.00335693359375	0.002685546875
political_info - Some times in a year						-0.0068359375	-0.00323486328125
political_info - Every day							-0.000244140625
