Year	Province	Immigrant Stock	Prediction step I	1 features	2 features	3 features	4 features	5 features	6 features	7 features
2012	Centro	120104	121474.38813481806	127816.29567303347	125274.55588901667	121165.6932113914	121146.47971107709	121474.38814111351	115861.89346544092	121220.72553319439
2012	Isole	7100	7382.285187542382	6645.922387064987	6823.138845305795	6875.236942947183	6876.654855456365	7382.285187999495	6781.5316481952	7591.667687570923
2012	Nord-est	132501	130335.8325572954	136873.63388161268	131078.83290230797	132607.78610551578	132834.88981194884	130335.83256226828	129749.89341205655	132030.90563601765
2012	Nord-ovest	159504	157487.9981325006	162383.2440571358	156550.60614261194	158678.8894093407	158369.2713369422	157487.99813683706	156932.5487457875	157109.88476651954
2012	Sud	44199	45288.82774436376	45669.80284897494	47921.34595003322	48046.57501893467	48040.54981505768	45288.82774488974	40799.669495963666	46155.829397288864
2013	Centro	123023	124002.99432054162	130476.9147618607	127882.26622037617	123687.87361547601	123668.26016767925	124002.99432696811	118273.6701782506	123744.05148797072
2013	Isole	7368	7567.728853489393	6812.868553427727	6994.536704992139	7047.943511518384	7049.397042116954	7567.728853957976	6951.884331358834	7782.371060695851
2013	Nord-est	136653	136341.626100804	143180.6852159525	137118.8634364229	138718.269845752	138955.83834875742	136341.626106006	135728.68724668756	138114.8070854816
2013	Nord-ovest	165074	166045.88519099023	171207.1384447129	165057.55538441663	167301.48941844873	166975.04672115037	166045.88519556235	165460.25272255304	165647.22517053553
2013	Sud	45787	45978.159321912535	46364.93316724968	48650.74652512556	48777.881678947386	48771.76476672853	45978.159322446605	41420.67255428692	46858.357421884706
2014	Centro	132042	128386.17007728199	135088.92637280692	132402.56391226253	128059.91069413479	128039.60396316863	128386.1700839354	122454.32957786084	128118.07430487803
2014	Isole	8057	7943.58953072376	7151.238153868599	7341.929080402985	7397.988402480262	7399.514124486035	7943.589531215614	7297.15832352025	8168.892210434674
2014	Nord-est	142789	142181.98162087463	149313.9999576308	142992.512841078	144660.4317239539	144908.17675600335	142181.9816262995	141542.7868028059	144031.1189194681
2014	Nord-ovest	177286	173792.83476852218	179194.88874228363	172758.39396576976	175107.01980711173	174765.34677084372	173792.83477330764	173179.87933933394	173375.57507561258
2014	Sud	49127	48172.65422026802	48577.88842249903	50972.80153178808	51106.004728580265	51099.595861814814	48172.65422082758	43397.6428364251	49094.86335914253
2015	Centro	131643	130600.94682480823	137419.33168670232	134686.62706088065	130269.05917426258	130248.4021339482	130600.94683157666	124566.77674892067	130328.22615953245
2015	Isole	8682	8240.921724880725	7418.912273107113	7616.74084835473	7674.898496531527	7676.481327010715	8240.921725391006	7570.294301537667	8474.657587077818
2015	Nord-est	139258	140604.61792359946	147657.51380978618	141406.15712872715	143055.57215713532	143300.56871138696	140604.61792896414	139972.51431842573	142433.24093470874
2015	Nord-ovest	175061	176906.735907367	182405.58018921828	175853.76070187008	178244.46761457392	177896.67271454688	176906.73591223816	176282.7979620609	176482.00004068602
2015	Sud	49247	48986.11914309934	49398.196310792526	51833.550990909775	51969.00351628792	51962.4864265401	48986.11914366826	44130.47478750611	49923.9011167725
2016	Centro	124739	126844.99507923708	133467.2900570484	130813.17526506042	126522.6521833866	126502.58921875499	126844.99508581085	120984.36165971108	126580.11758572765
2016	Isole	8682	8686.973782580835	7820.471855371428	8029.008194387103	8090.313711152669	8091.982214668904	8686.973783118736	7980.0476596361095	8933.360943476295
2016	Nord-est	131654	133430.5244245704	140123.55919613916	134191.16655757005	135756.4232005194	135988.9192536275	133430.52442966137	132830.67274989196	135165.8452906297
2016	Nord-ovest	167344	170089.57076013088	175376.51508579284	169077.1723355858	171375.75249144796	171041.3599938715	170089.57076481436	169489.67648954957	169681.20224392
2016	Sud	48025	47852.079790133415	48254.61728142844	50633.59296900678	50765.90973885001	50759.54352115268	47852.07979068916	43108.844661471674	48768.15190637654
