	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.998	0.99944	0.99956	0.99956	0.99981	0.99892	0.99974
R2_adj	0.99793	0.9994	0.99951	0.99949	0.99977	0.99863	0.99966
internal_migration - Foreign country	-6.088304364440819e-07	-2.583660108676188e-06	-2.5805922346602714e-06	-2.6693921100197577e-06	0.00034488623910888805	-9.5367431640625e-06	-1.811981201171875e-05
internal_migration - Italy		4.477259236326685e-07	7.589362823601903e-07	7.327032101398809e-07	-9.4493731920553e-06	7.748603820800781e-07	1.0579824447631836e-06
Free activity for a union			-0.0006298580163015127	-0.0006277196668319357	-0.11554925220218593	-0.002685546875	-0.00146484375
Free activities in voluntary associations				1.0119888749413747e-05	-0.017204543688208673	0.0009765625	0.00146484375
reach_difficulty - Municipal offices					0.009066301270081567	-7.62939453125e-05	-0.000213623046875
Recreation, shows and culture						-0.0006284713745117188	-0.000885009765625
Clothing and footwear							0.000152587890625
