Year	Country	Predicted
2012	ALB	462057.70738844614
2012	CHN	201617.20300641947
2012	ECU	80925.5615848715
2012	EGY	67285.26980900869
2012	MAR	419853.4204222619
2012	PER	95173.55814918119
2012	PHL	130849.8709700291
2012	ROU	850623.0815739844
2012	TUN	85704.00000000006
2013	ALB	480025.30308490724
2013	CHN	222643.15508601908
2013	ECU	83413.85448198789
2013	EGY	76889.14266449655
2013	MAR	435592.5312692209
2013	PER	100851.51662379899
2013	PHL	138889.18089146639
2013	ROU	942903.6025967377
2013	TUN	91058.0
2014	ALB	500561.1086774441
2014	CHN	258156.34325946786
2014	ECU	91986.29684570315
2014	EGY	96232.96850305295
2014	MAR	459405.6827335968
2014	PER	109801.89958949358
2014	PHL	163841.7167131964
2014	ROU	1096554.4124217166
2014	TUN	100125.00000000003
2015	ALB	505390.3962132275
2015	CHN	268585.660102673
2015	ECU	92164.0241776621
2015	EGY	104140.106646106
2015	MAR	463157.771461602
2015	PER	111122.28037154407
2015	PHL	169468.32777409148
2015	ROU	1145169.8754334322
2015	TUN	98608.00000000003
2016	ALB	486914.4846359749
2016	CHN	274997.6385454205
2016	ECU	88165.26290977583
2016	EGY	110043.51237733534
2016	MAR	448544.5941133184
2016	PER	105950.74526598206
2016	PHL	164855.90365121665
2016	ROU	1169938.027974127
2016	TUN	98004.99999999997
