	Values
beta	0.869936279621285
a_Centro	-0.25833808312176615
a_Isole	-0.3926803289547529
a_Nord Est	-0.16292016935341833
a_ Nord Ovest	-0.12464056751056167
a_Sud	-0.24186747099799183
rho	7.042778748136225
