	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.92939	0.9756	0.98074	0.98471	0.99937	0.99879	0.99651
R2_adj	0.92687	0.9738	0.97852	0.98226	0.99923	0.99847	0.99539
internal_migration - Foreign country	6.191969642375754e-06	1.2418019155410374e-05	1.1642231166860957e-05	1.3559852133392721e-05	0.0027997749863288846	3.828265471383929e-05	-6.687641143798828e-05
Alcoholic beverages and tobacco		-0.002111806218739312	-0.003990303454210364	-0.008509977459779883	-1.7350610070861876	-0.0296781063079834	0.02142333984375
Other goods and services			0.0004903301620242662	0.0022398463243487043	-5.239092139992863	0.0056536197662353516	0.0417327880859375
Accommodation and catering services				-0.0013949844533573952	-0.8436799196351785	-0.01057000458240509	0.007171630859375
Transport					4.211854934459552	0.004724085330963135	-0.03527259826660156
Total fertility rate						-0.6943177804350853	-1.103515625
Pay money to an association							0.003204345703125
