	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.90466	0.95554	0.95901	0.99951	0.99959	0.99935	0.9563
R2_adj	0.90126	0.95225	0.95428	0.99943	0.99951	0.99918	0.9424
internal_migration - Foreign country	8.555658611979736e-06	1.539799556944134e-05	1.4449730296268158e-05	5.688567712812311e-06	3.4993261021796715e-06	7.510185241699219e-06	2.148747444152832e-05
Health services and health expenditure		-0.0010139728436204531	-0.0010571913750470514	0.0030482266353917264	0.0031319963915059645	0.00287628173828125	0.00927734375
Free activity for a union			0.0005676627912476473	0.03917068439216642	0.039264633110548175	0.03914642333984375	0.0263671875
Disposable Income				-0.0006018885120459005	-0.000556528677390547	-0.000659942626953125	-0.00070953369140625
reach_difficulty - Emergency room					-0.00012755787676915764	0.0001373291015625	-0.000244140625
Meetings in cultural, recreational or other associations						0.00014495849609375	0.003173828125
Accommodation and catering services							-0.006591796875
