	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99057	0.99861	0.99866	0.99919	0.99919	0.99859	0.99911
R2_adj	0.98998	0.99842	0.99837	0.99894	0.99885	0.99782	0.99849
internal_migration - Foreign country	1.8914220998615357e-06	5.5273514924451925e-06	5.798967486731789e-06	-9.346303767055267e-06	-1.4083476582493759e-05	-3.5762786865234375e-07	5.960464477539062e-07
Free activity for a union		-0.0016646276930118442	-0.0016458491294428085	0.011259602301023186	0.015494476829871928	0.001800537109375	0.0013427734375
Recreation, shows and culture			-3.7690460260398967e-05	0.0008743816419709005	0.0011414124677173731	0.000244140625	0.00030517578125
reach_difficulty - Municipal offices				-0.0006480666970047344	-0.000908360374509698	-7.43865966796875e-05	0.00022125244140625
work_satisfaction - Not					0.003985593833704115	-0.007415771484375	-0.03082275390625
Pay money to an association						6.115436553955078e-05	1.52587890625e-05
Education							0.0009765625
