	Values
beta	0.9815108919471602
a_Centro	-0.035822501703348636
a_Isole	-0.055930290006419775
a_Nord Est	-0.0021571912221129367
a_ Nord Ovest	-0.03748349346989789
a_Sud	-0.04210935654542093
rho	7.035813617748549
