	Values
beta	0.8578148793168896
a_Centro	-0.15542374558460167
a_Isole	-0.3788273547252226
a_Nord Est	-0.1935294280335595
a_ Nord Ovest	-0.2833796964695939
a_Sud	-0.22170338152017685
rho	7.032491318934814
