	Values
beta	0.8141085228928946
a_Centro	-0.37059882316369724
a_Isole	-0.614187910566444
a_Nord Est	-0.21132619977226413
a_ Nord Ovest	-0.16304829945860855
a_Sud	-0.44769096716851037
rho	7.041169659846627
