	Values
beta	0.7248944425638459
a_Centro	-0.3545294392808274
a_Isole	-0.8620773126061625
a_Nord Est	-0.3536468676553119
a_ Nord Ovest	-0.3262472158551652
a_Sud	-0.6431088005219832
rho	7.0248546737552475
