	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.99876	0.99893	0.99894	0.9988	0.99844	0.99896	0.99868
R2_adj	0.99868	0.99879	0.99871	0.99843	0.99779	0.99839	0.99776
Free activity for a union	0.00024959445432646844	0.0005048174065436575	0.00044491525447303004	-0.0008420295495050745	0.0017847856155501773	0.000457763671875	0.00081634521484375
Free activities in voluntary associations		-2.8444940528154355e-05	-6.418781306383875e-05	6.784926663122581e-05	-0.0002990383584666745	3.814697265625e-06	-7.62939453125e-05
Meetings in cultural, recreational or other associations			4.8855798211941415e-05	-0.0003116188702471101	0.0019967081330865	-0.0001220703125	0.0
Meetings in ecological associations, for civil rights, for peace				0.00203671437898878	-0.004855374011558666	0.00042724609375	0.000244140625
Free activities in non voluntary associations					-0.0026090420994790975	6.103515625e-05	-0.0001220703125
political_info - Some times in a year						-1.430511474609375e-05	0.0
Recreation, shows and culture							3.0517578125e-05
