	Values
beta	0.2843108630267457
a_Centro	-1.3030118901497916
a_Isole	-3.697391890458146
a_Nord Est	-1.8559372367579792
a_ Nord Ovest	-0.22235604759909788
a_Sud	-3.5124167971103635
rho	7.024774739941935
