	1 features	2 features	3 features	4 features	5 features	6 features	7 features
R2	0.97359	0.9944	0.99626	0.9968	0.99984	0.99783	0.99536
R2_adj	0.97194	0.99366	0.99546	0.99582	0.99977	0.99665	0.99211
internal_migration - Foreign country	2.9661527372229078e-06	1.1529041572344123e-05	1.1516459173005661e-05	1.2985001189332783e-05	-0.001418404251227301	8.487701416015625e-05	-0.00017547607421875
internal_migration - Italy		-1.9413458115277157e-06	-3.217725803482982e-06	-2.7838922128741014e-06	3.915044410718327e-05	-0.00026798248291015625	-3.5881996154785156e-05
Free activity for a union			0.0025832628870935403	0.00254789959374474	0.47584607624958153	-0.0927734375	0.0654296875
Free activities in voluntary associations				-0.0001673592645134725	0.0707303106757422	0.11663818359375	0.018798828125
reach_difficulty - Municipal offices					-0.03733907619809429	0.016571044921875	-0.00732421875
Free activities in non voluntary associations						-0.242431640625	-0.017578125
reach_difficulty - Food stores, markets							0.008575439453125
