	Values
beta	0.9262898322086212
a_Centro	-0.10965167781271382
a_Isole	-0.11018914602918299
a_Nord Est	-0.13679642323489913
a_ Nord Ovest	-0.112845175996968
a_Sud	-0.08627998510218238
rho	6.865847688801271
