Year	Province	Previous time	Previous two times	Manual Selection	MI 3 selection	MI 5 selection	MI 7 selection	MI 10 selection	MI 15 selection
2006	Centro	11988.634118620963	12026.0856372344	14215.621570994446	12264.70937168541	13200.51342232884	12572.63291950432	11362.109598013858	12388.38766086149
2006	Isole	14417.552520832545	14449.771788996473	14994.480768678248	14145.733449112384	13924.565382583785	14454.196712800469	15189.571415503213	15882.91272587612
2006	Nord-est	26563.150711841663	26687.77618320792	27875.27609588345	26725.141070505004	27032.315118260536	26504.390499877438	27337.03767178214	27840.980804719264
2006	Nord-ovest	22294.935358825285	22393.17307964874	24247.292203955265	22761.18828071181	23590.92543455526	23722.187053506237	24675.083412991633	23749.375529507975
2006	Sud	5926.399912604068	5938.052937588159	6570.090857984504	6329.196391904004	6231.456639726019	6195.642647071612	7052.197788939858	8632.54543279259
2007	Centro	12972.678110900551	12998.415696341002	14916.840005111762	13165.590462357053	13931.846673907998	13908.40805972616	13564.958406432983	14026.430941301058
2007	Isole	15101.754887652709	15114.463373019888	15127.579718580915	14749.99785669296	14846.152916750138	14945.869115815924	15409.783879684426	15591.247005901409
2007	Nord-est	28448.731940401936	28494.98661966115	29660.380466744773	28399.33080992225	28527.505048726183	28370.22421860396	29883.281671164543	30239.98362278757
2007	Nord-ovest	24192.590746800037	24242.926697358176	26644.559247935125	24631.109478794908	24658.06146834288	25075.24881204736	26848.182640914798	26655.106870716714
2007	Sud	6003.8757688469395	6001.652955314228	5989.944877447528	6292.179080805334	6538.282672401896	6453.155952297479	8458.466251079244	6178.613393217993
2008	Centro	14486.978937465767	14531.255467332863	15639.987264547213	14637.351117657921	15431.790228316166	15518.724517957779	14332.853276750722	13814.611212081638
2008	Isole	15229.539741455887	15221.330529026884	15751.24485180185	14856.861009835786	14831.480670691242	14963.145954664631	14117.007953065295	14205.506386564428
2008	Nord-est	30471.153642326248	30520.80107352447	31322.81704553399	30404.493556728496	30197.80710832931	30000.67420498756	29896.101960979275	30303.899113718842
2008	Nord-ovest	26085.215235018753	26133.74897206021	27781.141606105077	26482.76244030994	26029.572164973208	26202.821358720958	25872.424868411967	26990.526585731957
2008	Sud	6006.894308700558	6001.884390522248	7000.926915518594	6378.691427568944	6079.147273645169	5894.120125869624	5894.0940608622905	5500.357490249087
2009	Centro	15413.670672526607	15435.181687720864	16195.002079808033	15503.882140526124	15947.978685966642	16121.607137264262	15741.894606730937	17345.28972263464
2009	Isole	15384.49145394163	15377.16607276362	15849.046085099846	15010.964310195583	14838.059218945953	15271.928390479314	14936.616487742185	14618.780999623625
2009	Nord-est	32338.62363176481	32380.883612193957	32710.655313159285	32245.986112974504	31721.777827738315	31576.157368410084	30595.882259312733	32210.616988874626
2009	Nord-ovest	27776.60373299625	27816.16926094572	27681.123206384553	27940.357017236725	28185.019301391112	28967.119684088088	30079.219888290725	31139.748469429225
2009	Sud	6208.130298941783	6210.361633916386	7083.050064877025	6583.968806275936	5922.281264949688	6299.948695169318	5480.061677847033	5049.773677137997
2010	Centro	16635.173133290842	16666.66766087328	16203.894650809036	16761.273984164483	17423.379077820562	17621.191311224276	16379.740986987072	16386.504434793558
2010	Isole	15926.82244764173	15933.521638991577	15945.100209802635	15582.5202143468	15466.862076745268	15629.106505920954	15515.830412231266	15238.731634427882
2010	Nord-est	34928.53082616937	34995.59955018066	33311.99149093573	34692.5602238574	34285.972893807586	34311.59268798714	35589.677478857055	34896.67370269816
2010	Nord-ovest	29878.51365106584	29931.639172304836	28337.200649420945	30054.839436674603	30086.26836756663	30191.08203646348	31567.676675717914	30635.704582308754
2010	Sud	6465.71236645055	6469.831242247866	6637.931140804462	6828.3339093643945	6429.4536312878645	6607.673953481086	7342.7259962236685	7120.516862876135
2011	Centro	17246.930543624163	17255.10030572977	16620.905608642213	17380.2330581313	18186.345218808277	17871.983497324592	17063.358657224384	15823.02250404593
2011	Isole	16619.074254071544	16630.78976819921	16206.065503294689	16276.044085889425	15915.61633330264	16314.161155196092	16837.196750986124	17798.589656274307
2011	Nord-est	35943.76639693635	35951.08025242516	34065.70743273498	35635.601590841856	35594.97952568055	35369.72158843097	36080.91457814817	34956.96595570203
2011	Nord-ovest	31008.453736270316	31024.266211085833	29107.918112255105	31270.958845957677	30866.223186253883	30282.41802882397	29008.598404605942	31269.47979305525
2011	Sud	6692.102855471928	6694.8621682930825	6248.619504692553	7086.539128535394	6651.816413454782	6531.984364731924	7354.881402032863	7783.888003025352
2012	Centro	17702.73006152054	17704.678646040833	16595.674402515593	17694.974195729643	18485.59351295952	18923.829462448743	17075.227238830757	16323.796176868309
2012	Isole	17575.951387668567	17596.747228509266	17121.900931600972	17185.6612049187	16944.795677189693	17301.864237906302	17402.156216748706	17355.24528488817
2012	Nord-est	36336.17657790674	36319.863557548735	34729.76114538883	36065.06158142606	35554.24394013911	34965.02909809607	33385.187981533985	30814.361962917614
2012	Nord-ovest	31523.61787128785	31515.999813438983	29607.060123219748	31748.8241900468	31321.81877609377	31167.622108457443	28845.31530437473	27517.665688070454
2012	Sud	6988.925941077734	6994.066132207617	6915.721608272794	7403.759475205097	6342.1226632397465	6367.803080519214	4982.864335004294	5443.592559559122
2013	Centro	13632.732158891768	13468.897430302288	13446.581636646057	13554.226568419332	14239.061649324369	15409.9018626365	14157.470876105577	14963.881022091658
2013	Isole	14739.530105218504	14620.884371375507	15139.48625053741	14276.277712876963	14252.982746401913	14420.481241847565	13818.213703187368	13842.022691782271
2013	Nord-est	27887.283527628922	27547.531731915256	28906.114607258034	27412.01147301608	27810.848950705058	26980.85435895654	28578.838219035668	30210.924184460135
2013	Nord-ovest	24391.81437713885	24104.299674853577	24639.579652418426	24507.198235423763	24354.897197042046	24538.050179517628	25082.519270726436	23694.34832357975
2013	Sud	5582.2863692915735	5524.920632482219	4341.83245577401	5886.093306145954	5268.388615327526	5728.253482357104	5496.0546978668635	4953.9879620096945
2014	Centro	14808.956521851727	14840.315189490253	14266.879063446555	15077.648212383005	14287.338129288317	15007.710142575968	11506.091099920199	12641.23365142501
2014	Isole	15550.51114589064	15567.57814996668	15091.864567789684	15230.400952358234	14571.902079645963	15329.96311482705	13924.182306739549	12581.109060570743
2014	Nord-est	28796.87020351926	28806.32805807265	28363.721483865946	28798.08068820645	27387.021592965313	27812.794236470636	26837.975845424164	28747.929129794815
2014	Nord-ovest	26124.456253115794	26166.97354717909	24637.774681931915	26496.071956580312	24621.79937924323	26928.617057578867	26728.502592477067	25968.978782810922
2014	Sud	6339.939872549785	6362.867517787483	4491.453759130247	6780.942894033192	5216.981388071805	6345.404717328017	5326.2865775443415	3947.256145303628
2015	Centro	16208.552833979445	16247.071487855834	14741.881455380179	16441.0481734534	16106.72716768233	16933.3089994598	12784.63820999254	11932.815124829245
2015	Isole	18456.358844973925	18549.290819928236	16820.344183590845	18160.05572113847	17303.88789945029	17950.53779260007	15501.21005444044	13889.676554506748
2015	Nord-est	31343.511660021955	31412.019725108188	29740.643511534345	31334.375756240548	29775.685118522997	30191.569840424883	22874.739132983443	22398.620384473117
2015	Nord-ovest	27681.016637631667	27715.621426545847	26299.80216573157	28197.69056040307	26293.856366101405	26894.717265892657	19946.812040170276	19705.668082821583
2015	Sud	7054.327637906133	7075.028000463387	4716.211994276113	7495.732267173151	5973.801467462694	6766.228775618907	2317.38551726286	12009.46253223635
2016	Centro	16293.07194988076	16282.337697120221	14930.066348726774	16507.996191305927	15897.26222501852	15675.745817339375	11223.897796510722	13409.799816498482
2016	Isole	18725.00889194596	18719.086701074608	17897.345668937887	18356.812293103154	17499.332709803643	17658.719130624893	14657.533370356923	14312.063654115984
2016	Nord-est	30310.164850133267	30245.670944308942	29422.969257147663	30193.4247731781	28979.377250831807	28130.944601899828	20965.04376347472	23160.94172457486
